SK_ID_CURR,AMT_INSTALMENT,AMT_PAYMENT,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT
100614,4322,2624,-672,-1374
101912,3167,1439,-211,-592
101157,3169,3986,-955,-744
105027,2828,2853,-1155,-697
103637,685,227,-1097,-237
102849,175,4425,-1248,-565
103024,3302,4266,-128,-317
100012,4209,473,-795,-696
101477,3252,2847,-280,-1224
106831,1030,2832,-226,-150
100564,1460,3565,-537,-903
103088,1673,2852,-913,-944
104644,3655,1902,-1201,-192
101617,4735,4119,-1328,-736
105985,3812,3943,-1100,-641
102255,411,1354,-520,-206
103324,3536,4465,-971,-619
102177,4206,4541,-1319,-893
102765,3007,3471,-221,-874
103709,1012,2778,-110,-986
103310,759,2326,-73,-1222
103247,4144,2822,-362,-155
106723,1337,4780,-1404,-54
103720,4067,4360,-420,-83
103901,376,3521,-684,-538
103672,3780,3577,-514,-1489
107754,1343,3146,-617,-1086
103302,2688,3640,-518,-937
106623,3297,3457,-202,-1267
106587,1603,4954,-187,-648
101955,175,4829,-862,-1039
101633,1217,2443,-837,-1098
102940,3976,1430,-1271,-845
104118,4157,3522,-342,-1070
105407,2182,3624,-604,-490
104840,3841,2668,-1331,-180
100482,3211,4972,-18,-175
106081,2921,3994,-776,-198
104238,2607,1821,-288,-987
107849,4431,272,-1108,-1085
103865,4827,4366,-933,-708
106747,4699,3389,-1054,-1293
104036,3989,3948,-615,-1072
105037,4277,2632,-315,-1410
107435,3971,2252,-1307,-770
101678,2744,2460,-451,-218
101397,127,2943,-612,-603
105813,4628,1639,-646,-864
106093,433,133,-1213,-574
103075,4232,1891,-972,-647
106061,2780,2872,-330,-460
104183,927,960,-157,-1479
103912,1776,2792,-1219,-1178
105611,450,4391,-678,-1458
107231,442,2865,-341,-221
103488,1478,3197,-980,-683
100405,2813,1375,-1067,-270
106560,3857,2439,-1461,-222
102245,124,380,-154,-140
104296,3014,951,-882,-644
106178,4419,1950,-1038,-558
104799,1142,104,-1248,-164
101646,3517,4500,-155,-210
106692,647,1191,-264,-567
106912,3343,4270,-563,-568
105873,2521,4301,-823,-385
100033,4681,97,-1416,-419
101847,1536,3170,-483,-145
106644,1471,2158,-940,-1111
103164,1974,2865,-367,-86
102587,1520,1712,-1096,-1126
105518,4007,1556,-1178,-1150
100751,4046,2240,-1479,-941
104166,576,1144,-612,-988
102988,760,736,-1453,-1280
107742,2607,4569,-1151,-20
105987,3738,983,-317,-913
101682,1363,4437,-788,-1119
102725,973,1894,-489,-1155
106291,450,1829,-668,-396
103635,4044,4399,-1168,-760
100647,784,4554,-583,-458
105897,2793,2688,-1461,-1287
100030,1041,3165,-1488,-651
107578,4163,890,-334,-1197
101145,3995,982,-1273,-1070
103691,988,3550,-469,-60
103438,3766,4976,-1151,-969
102954,2713,2063,-1015,-1001
106925,482,4509,-1422,-996
101814,3272,397,-766,-369
104022,1310,299,-775,-458
100394,2050,1183,-1349,-318
102573,3910,4777,-1376,-250
101540,2463,371,-30,-374
107623,1157,3397,-488,-1076
100287,3596,3547,-1222,-1113
103423,1075,4163,-1129,-1190
107396,2184,4213,-289,-1140
106400,4277,457,-755,-442
104570,3361,2932,-1259,-1158
101664,3399,4682,-624,-1414
103261,3881,351,-237,-77
101026,178,139,-1370,-1106
104887,4763,3693,-520,-1299
100236,757,1200,-19,-71
103327,1147,1085,-649,-483
105711,3324,619,-1220,-47
106665,1845,3243,-611,-559
101244,2134,3453,-190,-857
102012,1782,2254,-1462,-1054
107056,3172,4021,-1151,-1098
104832,2246,4674,-885,-107
107374,4435,2096,-1041,-808
103468,2208,557,-519,-621
100667,1180,2835,-15,-103
101358,4631,2149,-260,-446
106961,1102,1031,-1242,-507
107136,4182,1810,-1007,-635
103225,818,2542,-664,-297
106112,2241,2957,-324,-1303
103390,3441,122,-416,-455
100840,562,1589,-1453,-1162
106005,149,1843,-842,-945
100020,803,2259,-711,-1137
102283,3627,3163,-731,-1204
106961,815,4412,-876,-1496
100866,1175,1131,-534,-692
106417,4241,3448,-707,-1435
103808,2524,252,-1030,-170
102187,1623,3816,-983,-1384
104680,3759,3593,-644,-1009
105652,4772,2596,-893,-1489
103669,2357,3150,-14,-493
102351,4836,4973,-1020,-1204
106677,278,3478,-564,-92
104185,3921,1722,-1151,-160
101541,3995,2051,-1310,-1472
100939,2045,3081,-1267,-1214
102962,4276,3389,-1248,-1164
105062,2897,3909,-126,-1263
100234,2526,2586,-1054,-887
104309,416,4223,-455,-1107
101913,1845,3439,-9,-877
102162,1401,3420,-1482,-1402
101504,3686,2006,-1213,-609
106758,1711,1610,-1157,-718
107337,2309,4176,-149,-290
103905,192,258,-1239,-1283
101067,430,2183,-89,-812
107685,3796,2572,-1394,-566
106092,279,921,-1262,-227
103139,4902,1867,-337,-809
103049,619,4800,-733,-1210
102868,2053,4969,-505,-420
103062,1778,3558,-299,-176
104706,1392,1270,-338,-436
107483,3746,3717,-404,-104
100309,3706,3623,-1232,-335
106272,2668,722,-585,-883
101737,3906,750,-991,-283
105994,3782,481,-1111,-1254
102514,3025,342,-828,-1222
100402,572,2004,-725,-1318
104747,3223,2508,-279,-1451
106793,4002,448,-876,-1415
105593,2554,1333,-13,-690
103858,168,1037,-1224,-757
101933,3507,3397,-144,-95
104212,3991,4574,-174,-479
104209,631,1096,-365,-189
103324,956,3481,-1194,-947
102386,3341,3233,-903,-111
103463,1493,3293,-1205,-67
102496,4427,672,-322,-1186
103708,2667,4639,-1251,-611
107248,3453,3360,-1034,-24
107145,3690,4626,-395,-1417
102609,1544,3343,-132,-897
102124,2552,120,-1393,-412
105236,4820,2644,-1094,-1040
107074,1814,960,-1016,-1270
105041,2940,3119,-1493,-991
106772,2506,3559,-141,-183
104332,2619,4384,-1305,-140
102458,4333,3397,-579,-146
100619,558,1032,-292,-496
100366,3961,649,-394,-347
101514,3907,4530,-1303,-1343
103374,1923,1448,-1410,-1007
100071,4320,1749,-1187,-1189
105500,2996,482,-1215,-56
107856,4994,269,-957,-311
107076,170,4010,-1206,-630
105718,3977,4007,-771,-322
100451,2068,2507,-153,-1352
101109,2840,1433,-27,-883
102388,1368,3410,-1240,-337
104348,4157,3679,-404,-640
105982,4678,2064,-805,-270
103575,3080,4280,-1265,-263
102101,2413,1178,-562,-594
106239,4819,1360,-1172,-73
105789,982,3796,-66,-175
103532,1925,3064,-621,-1307
100814,2210,903,-194,-513
100178,3844,4342,-1088,-599
101125,3794,861,-543,-391
104659,2684,4960,-37,-254
106710,233,4795,-61,-160
104715,1992,296,-1029,-569
103901,1082,1686,-552,-222
100868,1039,4810,-56,-958
101644,3707,3763,-200,-1199
101500,561,2676,-813,-1021
103397,3762,1725,-754,-196
103119,3338,3727,-1379,-898
102929,3325,2802,-249,-1320
106832,4697,4846,-175,-652
105663,1548,3472,-2,-631
105416,3433,66,-261,-907
100258,1804,622,-1241,-503
105704,2494,1302,-1311,-1285
105603,2358,2421,-904,-772
101361,2746,182,-711,-1467
104328,423,3655,-1045,-875
104459,745,2629,-744,-137
104888,4993,2125,-1180,-1169
105252,4369,932,-1128,-739
101222,4079,783,-1451,-47
102777,1051,2932,-698,-1050
105965,2789,2221,-643,-528
103734,2579,3931,-608,-1457
102828,1189,4536,-833,-591
101150,3555,1289,-559,-1374
102097,4711,4450,-757,-168
107655,2165,4720,-705,-275
102555,4559,2444,-1061,-1362
106985,3427,2640,-246,-701
103962,3759,3356,-478,-76
107067,815,3986,-1457,-372
104650,4224,4394,-1193,-645
102931,2851,1468,-170,-12
106863,795,4008,-1381,-75
104151,1569,422,-721,-422
102516,1016,4870,-340,-1031
107850,1359,1263,-339,-376
107401,3491,3126,-870,-43
102384,3861,1141,-268,-135
107067,1772,2332,-884,-537
101490,1903,4318,-109,-518
104563,1828,3637,-1203,-807
101575,2779,4599,-1317,-929
104323,153,4551,-825,-963
106500,2204,3845,-553,-575
104584,3400,1916,-417,-339
101238,4442,741,-260,-1112
105241,644,2499,-695,-988
103060,2778,4581,-580,-885
102422,4875,2498,-1414,-1342
106977,313,3370,-1488,-51
102684,2865,3331,-1075,-307
101210,3996,186,-909,-1075
105410,239,4972,-516,-1461
100738,1734,4002,-1175,-306
102570,2945,2470,-1434,-1284
104694,3687,1563,-221,-794
102406,1684,4349,-585,-998
101289,777,143,-221,-1002
105519,524,3491,-1044,-1269
100398,3528,4280,-315,-307
103537,249,2209,-1010,-870
101807,3576,376,-1478,-1326
104004,1868,3487,-663,-946
100662,2850,2792,-795,-1061
103153,1038,2860,-1105,-550
104242,1115,2308,-1476,-126
103923,1568,2278,-1138,-855
101108,1299,3671,-1262,-427
101029,575,3547,-573,-1140
103311,3890,3118,-27,-69
102810,3441,2361,-1388,-259
103583,3322,3016,-97,-268
107110,4854,1731,-743,-1470
107374,4327,1176,-409,-1128
102501,285,2129,-1212,-551
107010,463,4745,-1426,-970
100457,4996,53,-3,-1461
106452,4386,2386,-599,-124
103231,4528,4934,-1495,-96
103921,1170,359,-1013,-817
101285,920,4346,-476,-843
104938,4162,4589,-524,-1431
106095,3968,2428,-1160,-989
103508,2984,616,-277,-275
100025,1411,1879,-372,-1057
100941,4498,3702,-805,-421
103765,2396,4232,-14,-899
104487,4145,1081,-85,-1119
105950,407,1548,-683,-1289
107593,3694,2939,-131,-1162
105236,128,1011,-903,-1319
104406,1279,3816,-122,-1350
106903,499,2747,-1160,-402
107695,384,3877,-698,-709
105291,4653,1303,-1201,-744
101054,2146,112,-1298,-141
107624,707,1384,-131,-706
103208,1258,1416,-506,-1029
106120,4815,2374,-93,-1010
101252,4974,1051,-515,-1243
102804,2922,3874,-169,-1008
106196,2981,2894,-415,-1306
103347,3224,745,-167,-1073
105497,3562,1654,-717,-288
103048,4346,447,-322,-1451
106144,454,3565,-400,-884
106044,1040,3178,-960,-78
101598,3293,2415,-1274,-370
105357,304,4017,-624,-650
103983,4971,2122,-435,-220
105850,4210,3060,-1208,-473
105963,842,3641,-478,-1416
105112,2266,1718,-967,-630
104871,2743,865,-1127,-1120
105182,409,1115,-786,-629
106246,3672,1079,-1348,-1223
102238,4761,2981,-163,-634
102489,4027,3905,-558,-1186
106143,1505,1432,-28,-904
101205,4281,3940,-1257,-99
100228,3356,1871,-224,-684
101977,3563,1839,-1168,-142
100987,1485,3341,-1474,-1163
105331,2132,2310,-1326,-1364
106317,230,614,-1000,-149
106133,4329,2658,-1006,-1397
106655,2843,2090,-1022,-1053
102820,3054,1868,-314,-1182
103224,2652,1705,-1013,-101
105132,2941,667,-1235,-600
107131,3577,4213,-1468,-31
105212,4424,3463,-835,-186
106091,462,4671,-473,-905
106113,3107,1518,-597,-587
102186,3815,3074,-576,-85
103412,2387,3464,-1395,-1132
106571,1088,814,-1230,-413
104475,4513,4102,-76,-484
104772,1160,4091,-809,-575
107731,2120,4280,-1301,-404
104394,4652,1399,-1466,-1077
101094,4467,4422,-547,-883
101850,2062,2228,-301,-927
107793,1660,3272,-302,-1126
107518,2439,1977,-224,-1317
100269,2981,4825,-1419,-1242
103690,1842,814,-24,-90
103452,2193,985,-80,-244
102825,754,4524,-1345,-103
107799,2303,2144,-1153,-1133
106489,4473,203,-73,-357
107455,3524,4091,-455,-1353
107546,3275,751,-1412,-1205
104019,3174,2097,-836,-242
100454,1242,1159,-369,-85
105165,2059,3295,-1079,-661
107577,794,1536,-955,-1158
103295,4417,4064,-1395,-795
103769,2681,2671,-94,-746
102902,1278,1210,-407,-149
102391,4293,3460,-178,-291
105971,2458,2747,-741,-901
104213,3838,2054,-1425,-110
104372,1624,3996,-791,-53
104410,4124,78,-230,-685
103624,1824,1471,-632,-433
102818,2144,2377,-698,-1412
102828,1808,4391,-1334,-1455
104427,3566,3080,-1486,-380
102797,1351,1919,-1187,-420
107616,1599,3634,-102,-876
106431,4089,2607,-994,-615
101848,2919,4698,-202,-857
104916,2207,4598,-1076,-748
104917,2359,1600,-1467,-1171
104276,2288,2330,-754,-613
103887,1116,4233,-596,-739
106587,4797,2656,-39,-669
107578,4348,2961,-1403,-710
101049,4696,2031,-640,-217
101519,243,523,-1181,-879
107540,3246,3506,-281,-205
101568,3879,1105,-199,-548
107768,1502,3295,-1407,-231
101382,3893,2621,-1414,-769
106286,719,4036,-1435,-834
106334,1061,2671,-1142,-9
100154,2725,4815,-1463,-113
101306,612,4551,-958,-226
107781,2271,3681,-707,-993
106180,1988,3798,-158,-1074
107261,1884,1738,-220,-1261
102297,1598,4462,-1129,-1428
101955,789,4656,-52,-1138
107160,3718,1438,-683,-169
101230,4086,4488,-770,-649
105648,4668,4187,-212,-1200
102824,1828,2718,-1471,-140
102085,4410,3621,-1297,-487
107324,4922,4142,-693,-120
106656,2860,3520,-1429,-266
107213,1631,1916,-1127,-1244
107291,3035,3528,-1489,-763
107757,921,3923,-1337,-427
103590,4268,4296,-380,-530
102801,1825,4651,-1023,-118
101977,4653,3705,-779,-399
105413,1059,4888,-875,-931
102032,2128,778,-959,-342
102892,2519,2946,-1286,-1146
106519,943,1455,-1298,-202
104194,3523,2345,-693,-1028
101871,2879,4599,-543,-808
103529,4705,1967,-930,-1075
107182,4086,2968,-411,-662
103614,4522,4743,-563,-1092
104484,606,383,-521,-1324
104802,3927,3785,-632,-1128
102447,3664,2616,-600,-289
102845,2872,4351,-506,-271
107424,2997,1957,-1259,-738
107812,107,298,-466,-52
107163,2523,489,-328,-26
101931,3661,3048,-55,-1170
105950,2224,2075,-1413,-1016
105836,626,4416,-124,-207
100312,3889,2722,-1441,-356
107385,3122,3109,-121,-800
103985,722,603,-921,-369
106158,4760,2202,-428,-1390
102512,4892,979,-185,-232
101985,3023,4769,-296,-1357
104076,2971,1111,-997,-376
100016,3618,4689,-258,-1027
101564,3549,4570,-1404,-1333
104705,1192,3593,-317,-358
107455,2388,799,-880,-1291
100485,1501,4984,-620,-975
101704,839,4467,-963,-427
103912,2393,4471,-607,-396
106087,4087,3907,-777,-1232
103167,2693,1544,-1290,-446
100920,2366,2521,-82,-637
100795,1879,2191,-1016,-812
107244,2348,2536,-1348,-607
101196,1843,2352,-560,-782
104220,1361,856,-1270,-545
102618,2514,4083,-159,-1150
101470,897,3685,-1379,-1303
101130,1246,4596,-346,-1428
101058,3323,695,-17,-168
102398,1770,849,-719,-773
106423,4174,2108,-668,-1000
106601,1462,4434,-162,-760
106796,3374,4078,-1328,-1469
100295,1457,838,-586,-1024
100915,2071,4696,-242,-692
107285,1063,846,-180,-11
101594,764,1547,-1465,-625
104133,3570,2930,-368,-1464
101740,4883,1756,-1162,-55
104355,3576,87,-983,-1111
101206,2263,3887,-909,-341
102095,189,209,-1167,-1430
102399,4740,810,-1389,-434
107416,4161,3798,-224,-685
106955,2125,488,-606,-710
104852,2885,3084,-1213,-456
104096,510,970,-1369,-954
100288,2155,498,-557,-614
100015,429,1863,-949,-1015
101479,3297,4543,-168,-1465
101009,2096,1012,-274,-1280
101643,653,2448,-1422,-1331
105499,3335,999,-1044,-185
107108,4249,1037,-458,-624
102334,2090,984,-517,-979
107733,4744,4512,-1293,-1049
102084,453,477,-995,-126
103583,2645,383,-12,-128
101866,3941,3515,-375,-60
103597,451,1291,-1193,-840
100176,2114,2529,-530,-374
101554,3176,3689,-963,-1455
106443,2088,2674,-886,-458
105822,2580,4301,-676,-903
100600,2292,3008,-975,-1063
106498,420,1692,-914,-1097
106984,544,2440,-88,-582
105394,2103,2063,-85,-12
102787,4279,4925,-1024,-760
103510,121,4139,-1115,-1241
102223,2629,376,-267,-1050
104393,2759,2095,-1010,-628
106973,1052,2444,-1105,-1474
106915,1363,4561,-267,-1007
107386,4071,4200,-427,-1374
106943,477,3016,-1378,-989
106894,2890,1416,-1226,-984
107074,190,3273,-225,-1248
102273,1868,420,-102,-616
107235,1427,1945,-7,-785
105697,4080,4552,-675,-7
101948,1063,1559,-1254,-221
102342,2868,134,-731,-1435
101433,2816,2868,-812,-47
101886,890,696,-1335,-114
107458,3649,2359,-635,-475
107240,712,2338,-1390,-256
104340,2560,3357,-154,-426
107263,3471,2301,-1208,-627
101664,2477,294,-661,-811
104984,2139,4751,-709,-411
106856,4618,94,-289,-706
104359,656,2691,-1498,-994
104123,1982,4442,-1118,-1490
106093,3367,3453,-403,-446
104476,4588,1713,-1090,-854
106046,418,4837,-1259,-1054
104831,2316,2177,-1427,-775
107680,1430,1373,-95,-1068
105675,3282,2842,-610,-195
102981,3053,4037,-1252,-1169
103931,1251,4428,-1384,-577
105137,1282,4951,-941,-585
102010,1349,3761,-57,-433
100684,2593,3375,-1306,-30
104230,2903,3761,-426,-428
102078,4906,2209,-966,-1466
104620,2817,760,-1328,-617
100211,4107,4404,-1180,-1362
101488,4405,1372,-1000,-178
100501,4153,4099,-69,-985
102574,4869,2397,-1096,-700
101083,4036,1084,-1066,-194
103756,2298,4211,-1293,-1430
101592,3771,138,-359,-625
100673,3825,3530,-1160,-1490
104480,1652,2922,-861,-164
101363,1826,165,-1203,-625
101254,2704,1797,-796,-1443
101857,1356,2113,-1012,-1190
100457,809,2443,-1119,-540
100246,4282,1126,-965,-919
102060,4309,475,-762,-307
103663,1589,3185,-1080,-1050
102361,724,4127,-1028,-946
104358,3509,4367,-507,-641
101873,4263,4658,-1257,-644
106824,3545,2484,-196,-967
107183,2001,4976,-1274,-481
101824,983,234,-1194,-1300
107397,4709,3030,-25,-607
102202,3723,327,-445,-1456
107760,792,4523,-918,-426
105384,954,1479,-1443,-1228
105882,2346,4124,-772,-1298
100766,2038,4214,-236,-1493
103738,791,3546,-1331,-834
103807,1139,1866,-426,-1446
101710,4977,4544,-781,-869
100777,1704,4373,-1265,-953
102045,4051,4189,-138,-1475
106071,4753,3815,-617,-1431
101348,2049,862,-608,-351
105343,3877,4204,-1121,-999
102004,638,619,-1357,-1014
107563,963,4005,-682,-18
103730,4379,2596,-723,-161
100189,4758,1445,-232,-609
106374,584,4238,-357,-367
105125,4100,4941,-446,-736
104587,971,339,-891,-1178
105810,423,3216,-814,-142
106421,385,65,-176,-1274
100959,4083,1762,-611,-152
100435,3464,599,-762,-1385
102968,2572,3205,-1346,-341
107069,2216,2913,-619,-230
102375,3843,2241,-1340,-1419
102298,1608,472,-1201,-449
105258,2773,936,-372,-574
104861,4804,1348,-341,-660
102703,915,4866,-348,-1373
107802,1947,742,-778,-924
100530,2299,3419,-1180,-1235
105149,971,4500,-287,-983
105598,3849,3184,-692,-1218
104789,3968,2236,-1067,-572
100444,4034,3729,-526,-966
106076,2489,1975,-302,-288
105732,691,2462,-1459,-336
105506,1885,1351,-820,-1382
101083,2396,4565,-824,-219
103062,2597,2773,-968,-371
107193,3804,1170,-903,-1076
100513,2985,4567,-468,-673
104221,1415,2147,-321,-966
100845,1145,357,-643,-425
100106,1184,2208,-233,-16
103491,1401,1032,-263,-285
106693,427,1627,-1478,-745
100113,2487,1010,-498,-1171
105840,2640,3168,-1218,-482
102575,793,4916,-1355,-352
102200,800,4393,-736,-1006
104095,1504,2222,-1266,-1131
104949,4670,2767,-876,-331
100898,902,4298,-733,-1063
103795,906,1829,-694,-1249
101734,1983,4894,-621,-332
102582,1681,3466,-923,-1429
104623,2220,1392,-960,-1468
106794,3591,2428,-266,-880
105426,3850,3927,-572,-1128
101391,1364,1634,-1006,-921
104733,1112,760,-1128,-130
105484,1123,2148,-243,-1193
104020,3341,4182,-1105,-1385
102269,2151,397,-1144,-112
103029,531,426,-595,-1302
106724,1579,121,-776,-1108
101023,622,245,-1444,-255
100868,3945,4220,-1093,-1208
101948,2111,959,-1074,-1320
106689,2094,2955,-1057,-1219
103395,2331,200,-939,-62
106549,578,1776,-949,-970
103362,592,1647,-267,-1354
102418,2052,4417,-16,-941
100869,1949,4503,-1313,-1116
103049,2725,4640,-190,-780
104055,4204,2122,-732,-85
103146,2549,1977,-1021,-1422
100751,2981,174,-638,-82
103504,4120,1562,-448,-57
101116,1222,2760,-357,-1217
100287,1250,4025,-635,-627
104231,556,3713,-1175,-237
107643,872,3499,-361,-1278
107352,4069,2616,-246,-1107
106099,4701,2079,-776,-1478
101834,1149,103,-171,-1125
107660,1263,459,-367,-288
105785,3374,3304,-1446,-646
107748,228,2150,-196,-734
103014,2997,2006,-427,-62
104681,2847,1229,-1137,-1224
106698,2401,4537,-655,-1078
104059,2642,3432,-919,-1282
103157,3861,1719,-776,-1318
107578,1931,2467,-309,-1460
102629,1400,3354,-365,-1094
103526,1271,1010,-506,-308
105731,3242,2273,-1120,-1258
101070,4923,3468,-1069,-149
101402,2498,4169,-34,-1360
102262,418,2367,-951,-320
104751,463,1110,-1035,-757
100952,3993,1997,-233,-540
107082,1643,3095,-1213,-1382
105420,2427,4067,-67,-994
104878,623,2838,-934,-1015
106909,706,4111,-1391,-369
101336,889,2827,-501,-854
104334,2653,2765,-184,-963
103539,3719,97,-253,-291
107205,4163,922,-1380,-434
103242,1649,4469,-1369,-1164
105149,116,3948,-563,-1121
106099,521,2252,-569,-1031
101977,932,2397,-461,-820
100292,904,2986,-4,-963
106556,4910,1416,-1438,-950
103151,1720,3877,-416,-803
102649,4665,2536,-828,-1340
102547,2818,1114,-183,-533
100933,1813,861,-995,-481
103468,4245,1698,-101,-1150
104041,4110,826,-205,-243
100483,1769,4729,-1334,-179
103717,602,574,-395,-1286
101737,2009,1066,-376,-1482
107492,1262,2209,-1280,-234
107753,2957,2378,-671,-1327
105255,992,2114,-851,-786
101978,1652,2717,-20,-247
104087,151,1906,-450,-624
107022,2515,4702,-540,-1494
106943,4432,127,-1150,-1275
101407,4113,1946,-214,-354
103283,2276,4826,-584,-247
106389,2866,131,-490,-89
105858,1252,2988,-193,-1430
101782,3913,3909,-1485,-751
107497,793,3161,-481,-1351
102285,3206,1199,-992,-279
103825,3585,4095,-712,-844
106807,4672,491,-1356,-1152
102571,1829,3734,-476,-466
102105,1102,2847,-457,-1180
106286,3349,3237,-1474,-158
101203,120,1324,-163,-1105
103557,1446,2905,-611,-1453
106086,258,2527,-528,-1384
107856,1837,2675,-1158,-708
106649,1160,142,-651,-1234
104507,2328,2941,-1409,-332
105000,3403,3594,-1337,-87
103544,267,200,-1255,-1379
107507,3019,2376,-1449,-766
103759,2208,4267,-1257,-1214
107411,1067,204,-1466,-1044
101994,4795,1256,-1089,-186
101543,2618,3544,-1460,-93
106689,757,1832,-1222,-340
101794,4477,188,-1340,-977
100465,3102,1071,-494,-294
102242,700,2750,-1448,-1414
106311,4769,591,-1282,-1373
104440,4156,4210,-366,-704
104562,1851,2124,-823,-286
100436,3020,3615,-819,-109
101184,2193,4167,-881,-729
107720,1875,2179,-155,-259
103066,2856,2684,-39,-1419
104039,3634,283,-223,-711
106240,2743,2260,-913,-980
102499,536,4495,-436,-1418
102080,3329,3359,-896,-453
101417,735,1338,-140,-1098
104058,4889,4188,-114,-52
102911,691,2461,-720,-426
104913,111,3007,-1127,-619
101262,4636,3629,-909,-1055
101799,3308,1814,-673,-1040
101915,3236,2504,-744,-810
101412,625,1189,-962,-1109
101637,2376,3750,-1405,-816
100735,4549,4307,-502,-382
107178,170,4427,-129,-699
103247,2937,4731,-663,-1197
101796,3533,3424,-120,-1391
104656,2253,4350,-1411,-1481
101555,2969,4625,-764,-352
103183,2294,621,-661,-1030
100071,422,2759,-361,-1389
103978,1298,559,-242,-335
104446,544,2441,-586,-753
103955,4497,2471,-511,-692
106156,1624,4165,-1296,-1358
102098,4733,682,-934,-634
106684,4424,4394,-1101,-46
107343,1361,225,-1427,-154
107005,1191,1906,-2,-1338
105407,2793,4348,-1191,-925
103315,349,3256,-262,-1181
105287,2601,4206,-939,-502
102469,4743,3977,-639,-680
103520,1119,2016,-443,-308
100085,1636,1319,-132,-1108
104033,3958,1893,-1145,-433
101490,3146,3602,-891,-1250
102885,351,3396,-449,-1266
104590,1638,4594,-238,-179
105479,776,3685,-228,-1169
100785,1300,299,-979,-277
103271,2609,3903,-666,-736
101101,4032,3001,-123,-904
100671,2282,4431,-1283,-80
103317,3656,1109,-571,-552
100191,1275,2136,-630,-913
107295,1227,3970,-1143,-1144
103919,4245,3436,-643,-380
105836,1445,2185,-884,-1496
100235,1233,3026,-96,-480
104515,1263,2123,-107,-647
103676,236,3088,-1305,-4
102668,2143,3326,-1300,-150
107251,424,2591,-1314,-1176
102307,3260,149,-1330,-182
106976,1379,3374,-247,-1393
101439,3163,4020,-1447,-942
106096,1188,4751,-219,-1269
102114,1785,3262,-886,-583
101491,1745,4814,-1417,-1356
107718,4366,2279,-708,-772
104134,4662,2444,-1213,-339
105851,4849,3816,-572,-265
105206,4167,1852,-910,-388
101316,1463,4205,-376,-196
103638,595,4647,-437,-414
101474,3985,2270,-531,-1255
107793,207,1047,-6,-193
102030,676,2408,-535,-1387
103459,990,1377,-359,-205
107353,2929,242,-1401,-107
105265,2269,4257,-1095,-1376
102456,3871,112,-1153,-673
106526,2858,2141,-109,-639
105199,1205,1261,-1392,-455
107105,4527,4857,-133,-637
106657,4907,1875,-770,-830
100441,2547,1411,-1063,-110
