SK_ID_CURR,DAYS_BIRTH,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_EMPLOYED,SCORE,TARGET
100053,-16062,2625,56385,671,-13253,0.9172519794412293,1
100054,-12513,9991,20458,3491,-9174,0.44969130316943734,0
100055,-18318,13849,86384,3076,-2909,0.8420541434290985,1
100056,-10890,7672,191716,3843,-3143,0.8297584196044147,1
100057,-24388,10310,68268,1549,-12941,0.766955322502226,0
100058,-13756,9656,78258,3238,-7398,0.9255177187774706,1
100059,-13331,4076,32523,1515,-10084,0.8288614214128026,1
100060,-18801,13130,328821,1665,-1126,0.8911008095225309,1
100061,-20289,11636,305111,3940,-5196,0.8841102360455119,1
100062,-12718,6302,251967,1568,-6822,0.7883879596726618,0
100063,-18245,1229,401100,202,-14592,0.830466440668435,1
100064,-20844,6458,70961,3228,-3108,0.8373860013695719,1
100065,-13987,2532,375492,370,-11051,0.8400880574475738,1
100066,-15019,9651,330996,663,-9069,0.839690454616488,1
100067,-15598,12275,249390,4462,-8826,0.882030079246708,1
100068,-20234,7382,314591,2235,-14068,0.8902436511976295,1
100069,-23326,6815,266250,450,-8198,0.7726232510388061,0
100070,-21143,1590,418908,1638,-4451,0.964636077847863,1
100071,-24441,3459,366578,2125,-13908,0.8394789053065866,1
100072,-21047,9900,154420,2502,-10584,0.8758397680151183,1
100073,-9723,18052,461773,4347,-10489,0.822228354883799,1
100074,-16935,8647,471020,1966,-12725,0.7825750006699158,0
100075,-23452,16388,324922,3668,-5782,0.854883587370636,1
100076,-13982,4479,178476,4722,-13572,0.860737424631324,1
100077,-20402,10221,391285,2341,-3326,0.9170137804188169,1
100078,-16903,11856,55071,1505,-4711,0.8000293279031429,1
100079,-18274,8127,40671,4237,-13602,0.8124468089957634,1
100080,-7740,13105,26902,3163,-11965,0.459783598035962,0
100081,-19304,17195,10596,399,-12003,0.18210840024385358,0
100082,-20890,10024,115179,3386,-12572,0.8288690621845313,1
100083,-9858,10869,382979,4208,-10711,0.8581348247535023,1
100084,-9099,8232,410015,3820,-13094,0.9161199188324046,1
100085,-20207,10617,494292,2074,-13080,0.916461401396733,1
100086,-13997,7936,267522,2476,-10470,0.8746756651546799,1
100087,-25193,15313,449923,4130,-9818,0.8746933673029978,1
100088,-21532,19379,50708,2733,-14409,0.5341066774552468,0
100089,-8143,16499,452821,542,-7548,0.8603279508103967,1
100090,-8958,15581,4228,1614,-12788,0.14600323220497574,0
100091,-8803,8175,48651,4918,-7148,1.0027508502392233,1
100092,-20890,3377,123003,750,-1797,0.7837099625350922,0
100093,-9419,8048,458668,4227,-13101,0.9021319438784314,1
100094,-8756,5392,235787,3973,-6356,1.0158341022991695,1
100095,-22556,14464,249277,3161,-4044,0.8195797216709292,1
100096,-20927,7952,83565,2371,-772,0.8172128636697816,1
100097,-16913,13984,348189,3453,-8748,0.8917235775870608,1
100098,-17114,15656,302633,561,-8852,0.7844655223677387,0
100099,-21601,8355,146081,2336,-4717,0.8298786140121449,1
100100,-16739,10047,461397,4508,-13159,0.9435149310318215,1
100101,-25288,15436,73152,4594,-8232,0.8280312026918899,1
100102,-25110,5322,476963,3614,-3377,0.8896400758817139,1
100103,-20328,16468,220159,4692,-9394,0.8313058211219273,1
100104,-24305,2776,309387,2147,-8083,0.9669694150428401,1
100105,-21480,8225,329143,2056,-2107,0.7757752237573243,0
100106,-7769,4995,135319,3580,-13606,1.0026623050512624,1
100107,-21290,14061,108503,4241,-285,0.8696949090086779,1
100108,-12330,12726,346081,4520,-3216,0.8161320793284886,1
100109,-14427,14814,145207,2959,-10472,0.8104977084764399,1
100110,-11562,17290,107945,2067,-1078,0.8764239489998016,1
100111,-19836,7904,397078,2113,-11855,0.8114531292339479,1
100112,-24877,19564,317784,240,-4968,0.8540678118903062,1
100113,-19443,5909,446499,4808,-8852,0.8705905016483191,1
100114,-10643,5315,201166,146,-9024,0.8994026144134382,1
100115,-22394,16749,48122,4729,-11940,0.5958967153288781,0
100116,-20225,4667,158031,2898,-11609,0.8173887311492766,1
100117,-14516,8353,416704,3182,-3350,0.9086728320046527,1
100118,-21135,14576,490430,1509,-2912,0.7963874820509457,0
100119,-21022,9691,55990,169,-5578,0.7847497795095025,0
100120,-24096,11425,256944,3131,-7262,0.8043682778174832,1
100121,-18367,1012,255964,2852,-3516,0.9845358446743306,1
100122,-19518,2629,98806,891,-7525,0.7889350562703165,0
100123,-23929,3881,71279,4866,-9325,0.987597050808293,1
100124,-13886,1027,209018,152,-8792,0.7784781249047865,0
100125,-14320,18564,180691,4947,-9018,0.8093735175136856,1
100126,-20668,12786,340074,1281,-11163,0.8440649698382634,1
100127,-12374,5822,393583,2031,-12838,0.8194599452942748,1
100128,-21850,16658,98374,4677,-8957,0.7924737508895233,0
100129,-10488,12769,184684,3516,-3560,0.8098878616435501,1
100130,-7465,19436,294608,193,-10839,0.8476816771054879,1
100131,-20013,15954,36322,3780,-7738,0.42879752983063757,0
100132,-10663,18267,13132,2943,-95,0.17852397319305607,0
100133,-18043,6901,351967,4762,-7787,0.8356519206238671,1
100134,-24894,5839,239600,3201,-2685,0.8934141230887938,1
100135,-19792,5563,146244,1171,-2947,0.8811709325787634,1
100136,-24921,2569,55865,922,-8727,0.8697189588783512,1
100137,-20505,3128,173772,3831,-7390,0.8994385198501172,1
100138,-21864,4069,193307,4670,-6475,0.9342115478112512,1
100139,-20256,4898,422303,2881,-7236,0.8960736469627986,1
100140,-10633,2812,174352,4742,-7516,0.983782069237801,1
100141,-14516,7595,481114,1439,-5969,0.8986236958516974,1
100142,-18196,11905,2957,1618,-2529,0.1760156698495208,0
100143,-10143,2417,259005,201,-8974,0.7833936457674403,0
100144,-19690,12470,79604,4114,-1816,0.7949767873536817,0
100145,-10539,18656,253521,3093,-10271,0.8890566227213348,1
100146,-17730,19785,332494,4341,-10570,0.7771957337932676,0
100147,-23316,2671,374266,601,-7882,0.8718956906846469,1
100148,-17382,10053,26347,4008,-4236,0.5518238766062249,0
100149,-19602,10878,302133,4028,-8334,0.8584481812265502,1
100150,-13613,17550,130933,3478,-5528,0.8079120384549665,1
100151,-23684,10114,273425,1682,-5770,0.8631960859821597,1
100152,-8735,7166,205197,271,-1000,0.8181146688894997,1
100153,-20617,7726,36843,2167,-7255,0.865241115071169,1
100154,-24416,2299,495555,499,-4392,0.8221487692776135,1
100155,-7937,4361,110766,2965,-7975,0.9828402292175193,1
100156,-19516,2637,270625,1045,-9467,0.8273234550988029,1
100157,-14674,3925,327420,166,-3757,0.8817540647560452,1
100158,-8251,5418,114930,4294,-13665,0.991830347229513,1
100159,-19052,7871,82577,3094,-3231,0.8981121316309979,1
100160,-10110,18679,14232,4931,-11358,0.1550081822760798,0
100161,-25180,1367,247994,1167,-13222,0.9546476094967222,1
100162,-20038,16202,13895,2661,-5588,0.19389561062564128,0
100163,-21512,19897,358504,400,-11227,0.8241307342430431,1
100164,-14610,7255,227920,4303,-249,0.9295930147255209,1
100165,-16137,14600,225603,3681,-10971,0.9118845311144,1
100166,-17910,2683,4164,4625,-8313,0.4227333097274294,0
100167,-22225,15900,90698,183,-1186,0.8577397161780203,1
100168,-11336,1572,467771,1824,-5259,1.0002573307764517,1
100169,-24480,7858,238863,1176,-14244,0.8055376489204262,1
100170,-18593,11560,186343,3432,-727,0.9217320182689923,1
100171,-21597,4674,422199,1329,-9740,0.7895729355152427,0
100172,-22476,9464,342014,2808,-8615,0.8064070600852179,1
100173,-24491,7883,349231,1044,-628,0.8815960959447311,1
100174,-23308,17593,252802,1255,-8397,0.8614096876500867,1
100175,-19145,6028,18180,1112,-1654,0.5400586833041875,0
100176,-15365,11723,483362,387,-9297,0.8137588590508268,1
100177,-20982,16679,42383,3424,-6444,0.5182254581839951,0
100178,-13657,14614,200453,2635,-9430,0.8184283195572484,1
100179,-9494,6341,38712,3984,-10212,0.8221003654138802,1
100180,-14827,15089,300593,4420,-10819,0.8217176121648263,1
100181,-7659,5596,308532,2669,-5515,0.8490704795763399,1
100182,-12244,3489,27347,2871,-11615,0.860923551074036,1
100183,-16703,5762,342204,3040,-12139,0.8067339393322029,1
100184,-17546,12901,293250,1232,-892,0.7981749090051964,0
100185,-22329,2097,305832,340,-12309,0.8199758777850954,1
100186,-8393,5224,235925,2456,-12155,0.9328813542854938,1
100187,-23548,3006,394433,3369,-7855,0.9059834876888627,1
100188,-23987,10074,123131,2018,-1848,0.809189403790926,1
100189,-11910,1113,447351,2977,-12864,0.9790753418006188,1
100190,-20821,15766,8561,3821,-5584,0.23399115917872082,0
100191,-15500,4026,265098,3646,-2481,0.9381836170328285,1
100192,-7638,19679,427430,2449,-12763,0.8153640081224737,1
100193,-19884,4589,449497,3723,-2257,0.9298580118056909,1
100194,-8604,8360,357154,862,-11336,0.8593037046063682,1
100195,-10993,17199,131510,4907,-7176,0.8571644770443141,1
100196,-18207,8300,164540,4091,-4289,0.9042355922401777,1
100197,-16966,4821,195643,536,-14207,0.9048132855042885,1
100198,-19947,8616,424204,3844,-4228,0.8359214496842456,1
100199,-19584,14084,298722,1428,-13871,0.905325077652186,1
100200,-12509,2506,300298,2254,-4674,0.8773504235243467,1
100201,-13730,17459,108853,4649,-7195,0.8998236930621152,1
100202,-24400,19344,273010,1780,-14098,0.8895405246000019,1
100203,-22420,11994,50955,3901,-7348,0.7526041610413953,0
100204,-15226,10784,330399,4349,-12786,0.8570495516742702,1
100205,-9816,12033,480820,2759,-8578,0.8169803226910415,1
100206,-20951,3740,198370,2835,-8384,0.864275208232887,1
100207,-11919,19750,239768,4571,-11096,0.8084117201080248,1
100208,-23960,14506,426204,3312,-7898,0.8063274597752338,1
100209,-16706,14062,10398,4893,-3785,0.14782055403177613,0
100210,-14179,16067,8697,792,-11209,0.14640249182048923,0
100211,-22131,9035,486192,1872,-11380,0.8813962731816755,1
100212,-11555,19990,410581,3817,-2107,0.8003410373361743,1
100213,-7954,3243,83239,1001,-9356,0.9673697241785961,1
100214,-17907,17950,105335,3114,-12123,0.8573631736928916,1
100215,-23167,13924,175783,3149,-13489,0.8872774907595011,1
100216,-11827,19101,36171,777,-6787,0.41706415316847445,0
100217,-9666,1828,185379,3003,-1597,0.9556653304383808,1
100218,-7358,2182,392646,2689,-13381,0.9639847174287309,1
100219,-22270,17657,316753,4069,-12225,0.8395203414957955,1
100220,-8399,15912,360909,986,-10816,0.822420856028884,1
100221,-11503,17056,135357,2929,-937,0.8790230838961279,1
100222,-12904,14277,61988,4702,-8085,0.7226453379342425,0
100223,-7682,19124,297983,3042,-3783,0.8251412349383086,1
100224,-12535,8331,365266,2023,-7971,0.9063125005317656,1
100225,-10028,6201,225160,1897,-12956,0.7924043246986568,0
100226,-8782,16652,358047,843,-5818,0.8382075997168488,1
100227,-20093,8491,415390,2510,-11074,0.902525288846537,1
100228,-20693,10661,188563,3329,-13817,0.8409850962348072,1
100229,-13359,13042,298879,1339,-5465,0.8876245750380017,1
100230,-21557,11288,428129,4041,-1562,0.8687671407008082,1
100231,-12195,9305,181006,1875,-11746,0.8809007929527299,1
100232,-8436,2112,92947,649,-7083,0.8686366304972902,1
100233,-12662,2197,135039,3814,-9468,1.004582739219567,1
100234,-11481,14052,484664,2981,-647,0.9501934211685094,1
100235,-13962,4804,159066,3177,-4464,0.9401565800448498,1
100236,-8086,11038,203000,4031,-11761,0.9281971141216483,1
100237,-19503,17879,437924,4863,-1302,0.8676070479823067,1
100238,-13341,12689,233913,2980,-1109,0.879729611735806,1
100239,-18287,18996,419102,1745,-6965,0.8489021165367053,1
100240,-11043,12441,240836,2764,-8033,0.8997028996722453,1
100241,-23506,2426,320332,1547,-7124,0.9329484692565324,1
100242,-25192,18359,186202,4708,-11689,0.8274955436421235,1
100243,-24601,5001,213216,2216,-14328,0.8007075366688541,1
100244,-19166,11281,29085,4754,-5914,0.5610954924888926,0
100245,-9395,6550,467107,3737,-11201,0.8322341165015786,1
100246,-22303,12435,465026,4981,-7,0.9754501955957814,1
100247,-20221,18941,274902,908,-3001,0.8685744580343535,1
100248,-22897,17076,430691,532,-3743,0.7897798116144558,0
100249,-20392,18595,275145,3651,-5148,0.7698970344564976,0
100250,-21779,13959,17636,1707,-215,0.3235286391532346,0
100251,-13234,15950,250011,2937,-6079,0.8691815165654054,1
100252,-16326,6026,443605,3986,-2627,0.8310720449069722,1
100253,-17526,3597,353471,2691,-633,0.8787179249825938,1
100254,-22086,2712,33827,4137,-2467,0.9495642312414707,1
100255,-7350,2713,167278,282,-12546,0.8392885171954811,1
100256,-24102,9659,461893,428,-10676,0.8435549501973842,1
100257,-16045,14470,37343,3863,-9916,0.5536796270940256,0
100258,-20093,19877,195639,3934,-4907,0.7970867182288249,0
100259,-7822,14942,357052,1243,-9829,0.911640976950686,1
100260,-20702,15823,195180,2422,-11480,0.7921941309527231,0
100261,-22118,3101,335832,3336,-13226,0.8827868256662322,1
100262,-24464,13956,126401,766,-266,0.940508114797352,1
100263,-8560,14080,377067,234,-3817,0.9224624887401637,1
100264,-14369,4041,79145,1741,-5576,0.8758588160732156,1
100265,-8072,8888,179021,3101,-3903,0.8699490681105866,1
100266,-7777,9622,49263,3137,-14304,0.896917152316413,1
100267,-12234,14505,205277,1277,-86,0.8371018838302302,1
100268,-9680,9003,164379,519,-11188,0.7913604052847506,0
100269,-19417,15647,487833,1852,-9817,0.820967862368376,1
100270,-14799,14245,437991,3117,-6616,0.8773766530166254,1
100271,-9435,2023,140336,2916,-9757,0.9700139291037884,1
100272,-12471,15803,482005,2573,-524,0.9105780303334097,1
100273,-13015,4379,379017,2117,-3179,0.8780455001473281,1
100274,-12033,1630,464142,2818,-1939,1.0548438548659884,1
100275,-9307,7011,494836,201,-1742,0.7921174190484669,0
100276,-18371,16299,273346,3111,-12631,0.7820340714395496,0
100277,-23439,3677,273545,4577,-11629,0.9448663867294804,1
100278,-17672,8484,43453,4234,-12916,0.915023556200891,1
100279,-22535,6465,226141,2089,-6866,0.8845579581130768,1
100280,-19740,18312,102197,283,-11998,0.8584514474797468,1
100281,-23966,17883,392455,1543,-13785,0.7614387249968729,0
100282,-21650,15702,411023,1288,-6851,0.8388667946910896,1
100283,-9985,13026,385275,4284,-3779,0.9210667674916183,1
100284,-21085,9119,99952,4610,-11601,0.9244954571583259,1
100285,-12294,3873,73374,3371,-5895,0.8539092444334053,1
100286,-20121,15548,427978,1715,-11230,0.7943718782257585,0
100287,-18302,18281,144154,4863,-12489,0.9078951530466468,1
100288,-13784,4014,98426,3760,-2013,0.9514398715970704,1
100289,-22592,3414,84152,3939,-5364,0.9198080081199902,1
100290,-14366,6817,229998,3155,-2025,0.8233508390367518,1
100291,-23867,4228,333626,4501,-7810,0.9483061782866913,1
100292,-10904,14966,495015,4511,-7847,0.8188896141456232,1
100293,-12541,5727,373745,2266,-3288,0.9338118396799412,1
100294,-12054,6470,147050,4730,-2602,0.8941412335803314,1
100295,-9279,11796,329296,2719,-5758,0.7756720158749485,0
100296,-24780,1162,346548,3145,-14492,1.0673209427703736,1
100297,-14749,16188,247816,4501,-5490,0.9065741512076149,1
100298,-18054,4861,411373,2759,-3136,0.8387832493536651,1
100299,-20206,15748,293560,1299,-2361,0.88871336950824,1
100300,-23112,5410,316165,1199,-10004,0.8698806292622032,1
100301,-10409,18398,30992,1040,-5574,0.30939360352947215,0
100302,-10010,4784,203975,4247,-6683,0.9816144372404189,1
100303,-13655,14571,219986,241,-5354,0.8013470718317001,1
100304,-24438,3702,138486,249,-8681,0.8540262273625413,1
100305,-24306,15526,428371,2530,-3160,0.7789057237231357,0
100306,-14332,7208,182493,4880,-2044,0.9573951526056542,1
100307,-12254,5627,228342,597,-1047,0.8263795265602025,1
100308,-14286,1605,364713,590,-10846,0.9219670483564322,1
100309,-24952,10213,468200,4994,-7964,0.8558926257315423,1
100310,-20186,16301,245463,3845,-6952,0.8094665964143452,1
100311,-20767,13740,224952,274,-13619,0.8480401817650491,1
100312,-7307,15678,385931,4946,-9564,0.860579942580058,1
100313,-21904,6664,100101,292,-13167,0.7964886058205314,0
100314,-23322,10656,474811,2637,-2213,0.8070734933593817,1
100315,-22336,12754,283775,890,-14430,0.8244313852907917,1
100316,-16386,12044,358526,3823,-7738,0.8907437716881217,1
100317,-11817,17127,35713,862,-8574,0.39498509383264563,0
100318,-24834,5373,143164,2251,-3920,0.902224482620192,1
100319,-21549,19663,379213,4781,-14001,0.786228950421592,0
100320,-19569,2473,430926,2303,-12985,0.893947849483378,1
100321,-17377,18130,143329,3041,-640,0.8922516361241298,1
100322,-18858,10777,85623,3485,-8619,0.8513378911155409,1
100323,-11365,10133,449246,2414,-2603,0.8639171331130772,1
100324,-20395,1927,311249,4520,-2984,1.096046139203923,1
100325,-10299,6909,196536,4071,-3980,0.8122913319396619,1
100326,-7442,15976,209082,4059,-8480,0.8345226893750227,1
100327,-24545,12748,151206,2369,-8430,0.8519862959606077,1
100328,-18663,8541,307423,2042,-10786,0.9156130306753604,1
100329,-8524,10595,63539,4962,-4562,0.8938656569762289,1
100330,-25246,17269,359421,142,-4321,0.8146574023666315,1
100331,-9930,2402,163415,499,-1049,0.8243071976120622,1
100332,-9861,2106,213975,1568,-2135,0.9613773685400093,1
100333,-14326,14770,31707,2009,-118,0.48885643555322666,0
100334,-14983,17397,494735,1756,-1641,0.8234997980361082,1
100335,-20064,17526,9056,3777,-552,0.242580393165909,0
100336,-11027,6985,282589,451,-8453,0.7620075999859793,0
100337,-20838,14412,106267,3915,-12809,0.8595472385188684,1
100338,-17596,3226,486133,2564,-4752,0.9712664789587447,1
100339,-17689,3423,47631,1438,-13196,0.9065697591377823,1
100340,-10900,13528,14001,2617,-6373,0.1748695884103686,0
100341,-24148,10441,282659,3691,-9180,0.8445386542651192,1
100342,-12016,17792,33154,3160,-1047,0.33003325053193233,0
100343,-10750,14691,420696,1022,-10385,0.7607172608500771,0
100344,-19532,7270,152179,2448,-7739,0.8390640511751734,1
100345,-13336,8415,89474,4689,-647,0.997916465130211,1
100346,-8762,16587,144565,3201,-9945,0.844284268145315,1
100347,-11752,10552,373781,1897,-10733,0.8460484575206925,1
100348,-8164,2821,338662,4529,-14307,1.1080936089402635,1
100349,-8406,13285,248111,1263,-6416,0.8111862860965133,1
100350,-23654,6642,336664,1187,-13248,0.8567398888135257,1
100351,-14522,9221,279703,3589,-5182,0.8488541815786841,1
100352,-12992,12634,452219,415,-10894,0.7539602736394597,0
100353,-13908,6797,100307,1429,-928,0.8560497553768192,1
100354,-21309,7098,166020,2728,-6330,0.8333421703890118,1
100355,-21455,15482,197152,3061,-8089,0.9079177168372526,1
100356,-9932,4063,74164,292,-9497,0.7816376559347878,0
100357,-17023,15460,247501,1851,-13877,0.7726499420930409,0
100358,-17580,8845,212975,1042,-3162,0.7769465977923786,0
100359,-12539,11293,45188,929,-6349,0.69030474299815,0
100360,-9748,14366,123367,4609,-8065,0.9252730631481447,1
100361,-17680,7780,416415,1349,-592,0.8692941898560257,1
100362,-16874,9305,458596,3645,-9913,0.80657453938824,1
100363,-13573,2272,16209,151,-9350,0.771294969551539,0
100364,-11980,3115,43406,3907,-14508,0.9138480083943538,1
100365,-17185,15159,256777,1708,-10288,0.8595258325232406,1
100366,-24939,17067,456833,983,-2838,0.8958297495507035,1
100367,-17826,4763,9921,2432,-14280,0.41666575358033653,0
100368,-23968,7807,323512,2915,-14363,0.8279046262581591,1
100369,-21572,19106,36212,2513,-1917,0.40067540534053137,0
100370,-25227,6137,428372,1868,-11041,0.791786624327492,0
100371,-20799,7844,16389,1921,-5116,0.3722962208947608,0
100372,-16002,7338,260168,4293,-9562,0.843027240734771,1
100373,-24436,19825,438784,309,-13920,0.8608790313803442,1
100374,-21215,5256,262138,4338,-2272,0.9507596875843232,1
100375,-16833,3891,396048,2252,-12113,0.8299462707819137,1
100376,-21703,2701,289951,3175,-3624,0.9606183830521328,1
100377,-9386,5004,454856,707,-3962,0.8072453598313746,1
100378,-12580,12946,20387,4950,-5979,0.41607756462750956,0
100379,-24382,18583,425684,2003,-13654,0.861449670023855,1
100380,-23993,13350,102376,1766,-12748,0.8085556633721882,1
100381,-9060,17898,186531,4759,-3094,0.8759538890583617,1
100382,-18856,1909,9414,4672,-12480,0.971405692442588,1
100383,-17881,13089,334086,4370,-8494,0.8622257336016756,1
100384,-8402,7596,405150,1322,-989,0.9648847650120893,1
100385,-24886,5839,472718,1950,-11718,0.9147160555526133,1
100386,-24206,13033,90364,3606,-4254,0.8804601431042895,1
100387,-8092,3757,124958,4707,-2118,1.026528286183654,1
100388,-9915,8497,427512,2755,-719,0.9681401037414177,1
100389,-20467,5510,152698,915,-3169,0.8467614236941193,1
100390,-12656,18654,37220,1546,-14188,0.3358189507061519,0
100391,-17726,7139,117835,3332,-4784,0.8514782697205507,1
100392,-19312,2433,208414,3434,-13797,0.957650490927418,1
100393,-23886,8694,331453,2782,-12432,0.9259541077839089,1
100394,-25284,18097,308140,131,-11508,0.8399408936165875,1
100395,-24670,13456,41533,2920,-3292,0.6208134069985439,0
100396,-19294,7854,398640,4387,-9077,0.9105272037966469,1
100397,-12762,10582,139735,3771,-2460,0.8382574296805604,1
100398,-13986,7676,267227,2769,-9461,0.7955852597429307,0
100399,-9888,7094,426945,2397,-12447,0.9230027816171016,1
100400,-23786,16255,403019,2727,-8965,0.9114067085983599,1
100401,-19143,10478,481550,877,-6785,0.8187077586678801,1
100402,-17517,6563,97879,2394,-3294,0.7938124563748462,0
100403,-7881,15062,452007,1821,-5535,0.8651173916496674,1
100404,-12587,10836,298205,415,-14236,0.8316624040519772,1
100405,-18436,10946,442364,2667,-13692,0.9005019684301258,1
100406,-12843,13598,16384,4676,-10912,0.2403468639391468,0
100407,-15036,16063,414448,982,-14370,0.8794629315855029,1
100408,-23914,16894,93534,290,-5299,0.8966954026294853,1
100409,-12216,18644,203584,653,-1748,0.8580344980947757,1
100410,-13232,17790,495965,2538,-10280,0.8929774182355746,1
100411,-24880,15854,136175,3648,-5195,0.8127864878769941,1
100412,-25465,11881,435207,3798,-7876,0.9179407568584422,1
100413,-8840,7119,371137,2060,-2458,0.9172681734698782,1
100414,-18390,8174,373289,1251,-8223,0.7866864735435408,0
100415,-8077,19613,445138,1064,-1714,0.9474552454005629,1
100416,-24131,7775,146512,4070,-9674,0.8358590365367371,1
100417,-17874,9290,488064,2648,-11479,0.7869766193074872,0
100418,-19357,2723,316804,1870,-2014,0.9402061286880761,1
100419,-21518,8091,328421,3417,-12201,0.8257933986247671,1
100420,-16878,8626,245674,4514,-5068,0.845215243460369,1
100421,-21603,15749,310799,4823,-7752,0.8272627079923333,1
100422,-22518,9349,56305,3758,-5112,0.8145629368438473,1
100423,-14124,5559,121078,313,-8422,0.7834778416540401,0
100424,-8620,14938,39029,4096,-12426,0.5275368715642912,0
100425,-23964,17962,244872,1104,-13924,0.7657428906999335,0
100426,-14752,8254,60114,3196,-3278,0.872021736437886,1
100427,-22247,18344,198722,2452,-6834,0.9023305392968965,1
100428,-22037,3713,240732,2424,-8467,0.8469638088568633,1
100429,-15727,19841,461183,625,-8357,0.8026382032634378,1
100430,-16243,14563,332968,718,-25,0.9470515172166736,1
100431,-22039,10476,181122,3807,-10559,0.8346831097116659,1
100432,-11406,1883,331423,4454,-13714,0.9779487856228182,1
100433,-25293,3768,20863,1767,-13683,0.8495252370591514,1
100434,-16460,12762,26631,4997,-13150,0.4194561823794674,0
100435,-20097,6369,490727,4856,-1690,0.9628197172275583,1
100436,-18174,1249,247881,3457,-9670,1.0215292114987577,1
100437,-19731,13646,174882,1223,-5299,0.7813585195241943,0
100438,-20915,12957,49351,4961,-1129,0.6809853553909513,0
100439,-23757,11861,473011,2152,-10849,0.8014366605379252,1
100440,-9380,8308,252451,1580,-5710,0.851293587341905,1
100441,-7804,6474,272308,3246,-272,0.9521429471010985,1
100442,-21535,16758,93281,368,-5092,0.785087370418439,0
100443,-15421,2210,213569,3493,-11122,1.00151593066338,1
100444,-23603,19087,119281,3076,-6787,0.8256047403377316,1
100445,-7901,3939,166633,2427,-5186,0.9044992162610052,1
100446,-10142,11648,201301,911,-14570,0.8909758176248577,1
100447,-18152,6824,230414,4026,-9267,0.8682216250978607,1
100448,-12992,4300,84593,3255,-12160,0.846552252338439,1
100449,-22123,17980,342452,3617,-10446,0.7785639045878643,0
100450,-22647,19235,124983,627,-11290,0.8122565206835564,1
100451,-16813,8116,495953,2862,-1095,0.7870005073150687,0
