SK_ID_PREV,SK_ID_CURR,AMT_APPLICATION,AMT_CREDIT,NAME_CONTRACT_STATUS
400087,105655,146874,191241,Approved
400088,103264,196589,146319,Refused
400089,105412,266999,265483,Refused
400090,102488,33694,70566,Approved
400091,100512,92866,2902,Refused
400092,104522,109448,106862,Approved
400093,106654,259214,76385,Refused
400094,101433,198090,225754,Refused
400095,102106,132228,209162,Refused
400096,104143,219989,156519,Refused
400097,100682,126423,299348,Refused
400098,103146,225081,198981,Approved
400099,101576,183501,135793,Approved
400100,101282,54589,95774,Approved
400101,103322,19520,251770,Approved
400102,102567,132577,281564,Approved
400103,103832,102449,7069,Approved
400104,102110,198826,135169,Approved
400105,105323,176663,35491,Refused
400106,106369,289801,51550,Refused
400107,101115,65883,177656,Approved
400108,102202,259777,248683,Approved
400109,106502,179944,23255,Refused
400110,102461,191373,197506,Refused
400111,103531,49324,185136,Refused
400112,103589,279160,252072,Approved
400113,102091,191690,206492,Approved
400114,106422,257492,202414,Refused
400115,105388,35186,248740,Approved
400116,105907,80112,295921,Refused
400117,103889,45948,184664,Approved
400118,104138,221047,189063,Approved
400119,105513,36580,119679,Approved
400120,100858,92253,273228,Approved
400121,103408,16696,264705,Approved
400122,100498,285949,192463,Approved
400123,105141,17605,190935,Refused
400124,102951,35090,244695,Approved
400125,101605,160328,279155,Approved
400126,101634,64460,63074,Refused
400127,104051,157480,174202,Approved
400128,103577,177220,132746,Approved
400129,105947,148489,205404,Approved
400130,107105,180922,224762,Refused
400131,107496,252473,34370,Refused
400132,107086,275271,75110,Refused
400133,100302,84371,75169,Refused
400134,103768,9153,73295,Approved
400135,105912,297388,104781,Refused
400136,107438,82714,231176,Refused
400137,106497,137871,80369,Refused
400138,105143,82660,234896,Refused
400139,102362,188070,55511,Approved
400140,106832,225986,43577,Refused
400141,101500,125746,109216,Approved
400142,103905,175156,299060,Refused
400143,105404,137421,12333,Refused
400144,105044,208056,196853,Refused
400145,106749,106456,257616,Approved
400146,102789,169424,247402,Approved
400147,100342,296991,37974,Approved
400148,107744,104029,52296,Refused
400149,106215,123467,238615,Refused
400150,103624,215053,10871,Approved
400151,106050,48132,57362,Approved
400152,105514,158629,171467,Refused
400153,107751,256188,273087,Approved
400154,103637,109722,282214,Approved
400155,101628,75839,91883,Approved
400156,103649,12648,184195,Refused
400157,104224,64054,251472,Refused
400158,103822,184754,124487,Approved
400159,103396,40625,49501,Approved
400160,100209,136056,274828,Approved
400161,101070,234238,39818,Approved
400162,100518,273181,276257,Approved
400163,106263,213604,222067,Approved
400164,105421,99677,126145,Refused
400165,106166,11633,295596,Refused
400166,106742,192328,138990,Approved
400167,102889,275755,68468,Refused
400168,106479,27651,250327,Refused
400169,100051,16585,15470,Approved
400170,102143,4637,222230,Refused
400171,101720,282065,207798,Refused
400172,104680,161585,298472,Approved
400173,101183,14502,234046,Approved
400174,103426,207748,159918,Approved
400175,105419,75889,263954,Refused
400176,105702,78343,110771,Approved
400177,104522,228423,222382,Approved
400178,107411,40564,226550,Approved
400179,101241,276619,222806,Refused
400180,104783,84098,283039,Refused
400181,100393,294698,7453,Approved
400182,102756,48715,90816,Refused
400183,106782,171789,29500,Approved
400184,103227,209445,46480,Approved
400185,107768,52128,118293,Approved
400186,103117,99358,119958,Refused
400187,103531,210093,248055,Approved
400188,104715,178830,285345,Refused
400189,103646,247059,148429,Refused
400190,103619,6648,129479,Refused
400191,100922,78565,102988,Approved
400192,104697,192216,74860,Refused
400193,105236,108739,135876,Refused
400194,105710,11271,124530,Approved
400195,105635,200314,55731,Refused
400196,106047,226244,100370,Refused
400197,105164,199377,4352,Refused
400198,103002,221778,96885,Refused
400199,105515,260932,240210,Refused
400200,105071,102591,107431,Approved
400201,102170,77547,77977,Approved
400202,107387,49372,135599,Approved
400203,101135,110270,89004,Refused
400204,100980,186737,228220,Refused
400205,103476,30141,293225,Approved
400206,106863,242070,252519,Refused
400207,101823,281954,96913,Approved
400208,105906,101558,231791,Approved
400209,103781,57456,270331,Refused
400210,103061,268435,260551,Approved
400211,104676,237479,38612,Approved
400212,105553,29412,281370,Approved
400213,107880,49559,129979,Approved
400214,107518,9477,257275,Refused
400215,105861,57740,237661,Approved
400216,107224,147325,10020,Approved
400217,106646,108045,140567,Refused
400218,106970,68093,278220,Refused
400219,106523,288295,290322,Refused
400220,104579,292503,44294,Approved
400221,101126,230427,137612,Refused
400222,106081,165102,17202,Refused
400223,106206,202414,236144,Refused
400224,105188,134912,290391,Approved
400225,101154,96684,113393,Approved
400226,101155,35454,194729,Refused
400227,106087,202506,231975,Approved
400228,107814,217168,100833,Approved
400229,100859,68175,224521,Refused
400230,101337,276798,241141,Approved
400231,106800,18986,107408,Approved
400232,101486,283967,257616,Approved
400233,104265,297972,27671,Approved
400234,105869,20943,46251,Approved
400235,104516,19602,114157,Approved
400236,106436,237608,253747,Approved
400237,106503,219839,147613,Approved
400238,107090,13172,134260,Refused
400239,101084,289172,170671,Refused
400240,105056,18682,255173,Approved
400241,106128,236789,37612,Refused
400242,102113,150301,33188,Approved
400243,107088,104036,156834,Approved
400244,102668,249056,51033,Refused
400245,102678,237762,214738,Approved
400246,106751,216602,264452,Approved
400247,106408,141112,115388,Approved
400248,107402,75051,201960,Approved
400249,101588,22522,206583,Refused
400250,107056,93266,238712,Refused
400251,105514,120609,289330,Refused
400252,103168,6631,146090,Approved
400253,106060,283029,268571,Approved
400254,106360,254065,145721,Approved
400255,100772,87814,271087,Approved
400256,102847,93686,149349,Approved
400257,101151,128782,192600,Approved
400258,105730,170009,135880,Refused
400259,103029,171881,238635,Approved
400260,105167,115897,94892,Approved
400261,104652,44096,18980,Approved
400262,102626,47802,213096,Refused
400263,106861,184853,153621,Approved
400264,107495,194493,54681,Refused
400265,100674,30318,159315,Approved
400266,107721,268584,19883,Approved
400267,100755,222242,285084,Approved
400268,104578,245665,126143,Approved
400269,100493,283377,12217,Refused
400270,104768,202404,146168,Refused
400271,104594,90545,285557,Approved
400272,106811,153225,219089,Approved
400273,102655,116381,55693,Refused
400274,100951,116371,163981,Refused
400275,106082,100055,225464,Approved
400276,104024,83452,58088,Refused
400277,102434,213622,246797,Approved
400278,100368,37608,276593,Refused
400279,100379,268208,252769,Refused
400280,103999,38678,135226,Approved
400281,100595,203734,293356,Approved
400282,101210,83168,263057,Approved
400283,104005,93671,171768,Approved
400284,105178,88828,224108,Approved
400285,101581,31104,131943,Approved
400286,100485,240455,274279,Approved
400287,101957,254469,112928,Approved
400288,102134,162889,13590,Refused
400289,107569,229947,143162,Approved
400290,103640,43232,145973,Refused
400291,101021,125097,123551,Approved
400292,106418,229911,59016,Approved
400293,102400,225419,157074,Approved
400294,103001,43732,248434,Approved
400295,105833,64313,277862,Approved
400296,105509,193661,24701,Refused
400297,106458,152261,88216,Approved
400298,101012,97319,128164,Approved
400299,101689,188065,178031,Refused
400300,107377,289383,135608,Refused
400301,106377,49370,39538,Refused
400302,104273,64518,269268,Refused
400303,100986,48609,215784,Approved
400304,101045,259479,47655,Approved
400305,103121,282556,132762,Approved
400306,107849,25306,35430,Approved
400307,103703,61549,126665,Refused
400308,104036,52893,123761,Refused
400309,103782,173044,244796,Refused
400310,104930,10092,78372,Approved
400311,107574,146553,222041,Refused
400312,104758,272425,294943,Approved
400313,103747,264597,251981,Refused
400314,102298,32349,159238,Approved
400315,105455,288973,40302,Refused
400316,102879,126211,12848,Refused
400317,103286,166777,76952,Approved
400318,100746,196328,94738,Refused
400319,104473,219599,73204,Refused
400320,103294,213733,164111,Approved
400321,100769,254911,189149,Approved
400322,102075,269837,15450,Approved
400323,105272,273190,237491,Approved
400324,100907,172649,60198,Approved
400325,100207,191296,23717,Refused
400326,105943,151444,14687,Approved
400327,101387,40904,15496,Refused
400328,107389,9155,44921,Approved
400329,103790,281517,32602,Refused
400330,106572,257936,149525,Approved
400331,101164,239329,130818,Approved
400332,101092,78768,20709,Refused
400333,105291,3358,131181,Refused
400334,104883,262490,135890,Approved
400335,107506,101563,93741,Refused
400336,103720,107367,96424,Refused
400337,100404,222410,128740,Approved
400338,104545,80270,99599,Approved
400339,107025,82702,189648,Approved
400340,105588,183312,185154,Approved
400341,106460,232170,57100,Approved
400342,104074,119687,163204,Refused
400343,105443,257467,61737,Refused
400344,105084,187089,9477,Refused
400345,107302,229903,230767,Refused
400346,104920,182119,188733,Refused
400347,103370,126948,181085,Approved
400348,107214,169401,66677,Approved
400349,100241,28804,215790,Refused
400350,107476,51917,239910,Approved
400351,105422,168340,29089,Approved
400352,101326,242031,48398,Refused
400353,102058,24577,49577,Approved
400354,105625,216919,150992,Approved
400355,102724,36269,107891,Approved
400356,106886,171589,291835,Approved
400357,103744,95851,118741,Refused
400358,105432,35515,67250,Approved
400359,102808,76852,271192,Refused
400360,100276,96584,152423,Refused
400361,106247,59232,282981,Refused
400362,104059,155483,241318,Refused
400363,102447,208596,119871,Approved
400364,101281,251106,72135,Approved
400365,101092,6409,93033,Approved
400366,107060,144648,48961,Approved
400367,107090,275097,12031,Refused
400368,101812,70313,237563,Refused
400369,100632,77851,5210,Approved
400370,103424,55831,68328,Approved
400371,105475,169483,273747,Approved
400372,106079,151494,118086,Approved
400373,100198,86275,105168,Refused
400374,104428,81503,169701,Refused
400375,100585,20120,88450,Refused
400376,106876,187113,68340,Approved
400377,106632,111797,265921,Approved
400378,100479,13564,210203,Approved
400379,107855,62300,179971,Refused
400380,104948,142483,154054,Approved
400381,104427,257638,152596,Refused
400382,104175,231113,21654,Approved
400383,101753,273595,49981,Approved
400384,104807,192307,136517,Approved
400385,104862,294415,269272,Refused
400386,103743,29211,243578,Approved
400387,103042,116550,174258,Approved
400388,107171,233339,77565,Approved
400389,103843,22228,81650,Refused
400390,103669,122214,76866,Approved
400391,103756,6062,162321,Approved
400392,104562,4882,141089,Approved
400393,100423,85327,279150,Approved
400394,107489,129457,96813,Approved
400395,106033,173981,49689,Approved
400396,100291,177662,141103,Refused
400397,106144,286199,244185,Refused
400398,100304,241141,90657,Approved
400399,101872,156146,290540,Refused
400400,100194,161082,86225,Refused
400401,107066,24038,257017,Approved
400402,102984,9478,41498,Approved
400403,107086,124059,93304,Refused
400404,105915,16541,174914,Approved
400405,101789,123363,154551,Approved
400406,104754,296990,76703,Approved
400407,102615,71636,15732,Refused
400408,100713,82837,292214,Refused
400409,101309,76538,7633,Refused
400410,105086,217975,273572,Refused
400411,105727,248830,161926,Refused
400412,102297,47802,112675,Refused
400413,103026,206704,87187,Refused
400414,103079,183302,90002,Approved
400415,106205,292468,116168,Refused
400416,103153,66093,299064,Refused
400417,103558,260187,154956,Approved
400418,105412,87586,110592,Refused
400419,104692,65709,80392,Approved
400420,105358,225024,40705,Approved
400421,102770,85709,184713,Refused
400422,101204,189481,169931,Refused
400423,100567,297713,88407,Approved
400424,100341,182159,223743,Refused
400425,103716,200169,62124,Refused
400426,102197,15491,203542,Refused
400427,104849,152493,197043,Approved
400428,106515,11207,137805,Approved
400429,101310,85147,289151,Approved
400430,101307,207545,144456,Approved
400431,106435,127786,60387,Approved
400432,101562,84442,129535,Refused
400433,103307,298345,290089,Approved
400434,101904,121097,51622,Refused
400435,105490,81047,138787,Refused
400436,105696,206179,229004,Refused
400437,101708,174591,45696,Approved
400438,101951,148526,129313,Refused
400439,106439,5604,127147,Refused
400440,105296,198665,28983,Refused
400441,107007,25227,199092,Approved
400442,105516,197897,225521,Approved
400443,104611,235367,211156,Refused
400444,106132,216823,85928,Refused
400445,103570,214212,22705,Refused
400446,106754,108000,273774,Approved
400447,105560,1955,244672,Refused
400448,103681,239333,143452,Refused
400449,104819,166095,141178,Refused
400450,101245,79785,148301,Refused
400451,102686,114588,161946,Refused
400452,107374,140093,104100,Refused
400453,102773,161130,89725,Approved
400454,104914,273071,98461,Refused
400455,105454,105765,221290,Refused
400456,107655,197751,867,Refused
400457,103896,235025,224814,Refused
400458,107812,195722,220767,Refused
400459,103669,201409,46828,Refused
400460,101466,187610,77927,Approved
400461,104213,248952,160014,Approved
400462,101392,24097,51087,Refused
400463,107643,236510,116843,Approved
400464,106009,297453,147660,Approved
400465,103884,118158,261718,Refused
400466,104306,114601,200013,Refused
400467,107668,251664,257886,Refused
400468,103008,27361,65648,Approved
400469,107364,47009,133459,Approved
400470,100532,9526,30669,Refused
400471,103616,147196,238615,Refused
400472,102599,36012,120713,Approved
400473,101964,265158,1387,Approved
400474,102106,266602,290731,Refused
400475,102350,156381,178116,Refused
400476,105985,21753,176183,Refused
400477,101807,257137,16873,Refused
400478,104772,10379,126799,Approved
400479,101946,194996,257863,Refused
400480,104401,222183,122945,Refused
400481,103843,185055,47409,Refused
400482,100836,139553,107811,Refused
400483,102791,139851,227477,Approved
400484,101652,101293,202060,Refused
400485,104165,284932,288115,Refused
400486,104720,152961,52432,Approved
400487,106180,268888,202292,Refused
400488,105026,107865,265444,Approved
400489,102092,48293,283184,Approved
400490,101047,273558,109781,Refused
400491,104737,120042,289361,Refused
400492,105521,273874,79747,Approved
400493,103596,111221,263567,Approved
400494,103357,51666,237196,Refused
400495,101819,128498,229420,Approved
400496,106509,202233,224829,Refused
400497,107095,26821,139422,Approved
400498,100775,27505,170287,Refused
400499,103529,67211,212108,Refused
400500,107168,163446,134078,Refused
400501,107094,259817,228257,Refused
400502,103441,191177,256159,Approved
400503,103374,98899,13244,Approved
400504,106699,263725,270983,Refused
400505,102089,200337,9447,Refused
400506,105423,67551,166403,Approved
400507,102853,209492,104794,Refused
400508,102240,158381,86916,Approved
400509,104648,146526,258529,Refused
400510,100467,63024,239876,Approved
400511,102909,291316,245805,Approved
400512,100099,48145,258841,Refused
400513,103170,243976,176101,Approved
400514,104594,223413,44699,Approved
400515,107725,88919,178997,Refused
400516,105583,169059,127400,Approved
400517,100923,46883,298394,Refused
400518,103314,34251,101398,Refused
400519,104880,266776,162005,Approved
400520,104981,106532,74645,Approved
400521,105003,170048,54529,Refused
400522,103669,33069,167373,Approved
400523,107053,204698,106423,Refused
400524,106126,123831,171806,Approved
400525,103981,190833,243747,Approved
400526,103924,183145,273285,Refused
400527,100555,248110,163817,Refused
400528,105069,227648,26445,Refused
400529,102148,47221,136705,Approved
400530,104546,25666,177392,Refused
400531,102662,223936,99733,Approved
400532,107851,242909,211242,Refused
400533,104233,267029,252009,Refused
400534,103816,21709,137979,Approved
400535,100845,227336,203209,Refused
400536,101393,299353,172725,Refused
400537,100006,230678,110666,Refused
400538,102112,155405,217938,Approved
400539,107196,141564,267903,Refused
400540,105496,183193,250351,Refused
400541,104540,186896,94507,Refused
400542,107682,291554,67761,Approved
400543,104873,193165,225964,Approved
400544,104686,10377,246130,Approved
400545,106115,34610,12964,Approved
400546,101477,143103,219310,Approved
400547,100498,110642,46460,Refused
400548,102500,107438,31618,Approved
400549,102234,40184,167627,Approved
400550,100047,53418,272548,Approved
400551,105622,3969,294989,Refused
400552,102416,25258,256977,Approved
400553,102822,108251,188805,Refused
400554,103054,297303,258722,Approved
400555,103348,280229,265938,Refused
400556,106796,6125,35197,Refused
400557,103249,279927,157253,Approved
400558,104016,2039,55505,Approved
400559,107582,286002,295768,Refused
400560,100415,33549,136074,Refused
400561,106738,127117,193257,Refused
400562,105643,211595,35678,Approved
400563,105611,19580,104378,Refused
400564,101978,118372,259060,Refused
400565,106987,231254,229096,Approved
400566,104865,258569,238910,Refused
400567,106339,279059,50915,Approved
400568,106421,75365,118107,Approved
400569,100852,278124,6566,Refused
400570,106091,198601,226644,Refused
400571,102017,264344,131837,Refused
400572,104503,221100,97475,Approved
400573,106598,88547,277545,Approved
400574,101263,68254,293296,Refused
400575,100286,21075,276528,Refused
400576,104367,277139,165083,Approved
400577,102207,133509,109859,Approved
400578,103075,245573,10886,Refused
400579,101913,241393,182570,Approved
400580,102629,230583,107566,Refused
400581,106541,205440,111826,Refused
400582,104693,133378,54023,Approved
400583,103084,165978,47135,Approved
400584,100053,4794,7939,Approved
400585,100488,276159,298824,Refused
400586,107145,248891,120182,Approved
400587,104420,272578,259331,Approved
400588,106398,181964,163313,Approved
400589,101136,73165,166258,Refused
400590,105836,159162,121134,Refused
400591,101132,25197,32623,Refused
400592,100989,157023,23806,Refused
400593,104776,187722,264950,Approved
400594,106471,282423,113580,Refused
400595,102838,128996,268762,Refused
400596,105529,171212,45854,Approved
400597,102592,47742,183891,Refused
400598,104325,127462,275423,Refused
400599,106301,18732,4012,Refused
400600,103458,78232,80565,Approved
400601,100938,120501,249161,Approved
400602,100365,270532,237715,Refused
400603,104217,93445,24564,Refused
400604,102259,130132,56900,Approved
400605,107159,227085,221606,Refused
400606,107586,6517,36027,Refused
400607,102150,134738,108881,Approved
400608,106807,16462,157454,Refused
400609,100229,238687,109047,Refused
400610,104922,226236,99249,Approved
400611,107294,277031,175662,Refused
400612,106935,229311,281332,Refused
400613,105068,129265,68782,Approved
400614,101516,268000,279559,Approved
400615,100631,267467,239370,Approved
400616,104863,67778,69034,Refused
400617,107671,123921,121490,Refused
400618,102736,160440,299962,Refused
400619,100081,231270,11478,Refused
400620,100320,130341,124075,Approved
400621,106492,226388,39132,Refused
400622,104532,76271,213184,Refused
400623,102202,292429,155372,Approved
400624,107023,138293,58978,Refused
400625,106385,229607,65259,Refused
400626,104678,107125,48783,Approved
400627,104000,182485,280145,Approved
400628,104319,57372,180840,Refused
400629,102139,280062,113907,Refused
400630,106483,233305,43514,Approved
400631,102836,69544,298961,Approved
400632,107877,188373,96788,Approved
400633,100466,114499,161440,Approved
400634,106974,117264,177356,Refused
400635,104368,39437,179191,Approved
400636,102585,295489,65240,Approved
400637,105672,165711,81448,Refused
400638,105593,92029,104995,Refused
400639,106969,183833,195384,Approved
400640,105714,271930,251857,Refused
400641,102252,77968,194240,Approved
400642,107387,63920,121075,Approved
400643,104168,34932,226085,Refused
400644,104485,76814,26778,Approved
400645,106957,190734,245443,Refused
400646,103986,259342,118231,Refused
400647,102651,90125,117010,Approved
400648,105367,145451,205559,Approved
400649,104770,171527,285914,Approved
400650,102300,75128,59914,Refused
400651,104420,163121,7997,Refused
400652,102285,118362,64572,Refused
400653,100474,131247,173549,Approved
400654,106063,16160,263084,Refused
400655,105850,818,297452,Approved
400656,104408,68155,103828,Approved
400657,103882,184541,22478,Refused
400658,104726,72167,262595,Approved
400659,106142,53907,49680,Approved
400660,104375,279644,127330,Approved
400661,104543,202051,56550,Approved
400662,103256,86925,281868,Approved
400663,104589,205875,260159,Approved
400664,102889,13078,226975,Approved
400665,103624,273140,137448,Approved
400666,100282,186037,126237,Refused
400667,100403,15890,186914,Refused
400668,104339,172802,218117,Refused
400669,104236,241599,4461,Approved
400670,103951,175216,54952,Approved
400671,105115,166730,77735,Refused
400672,106636,165406,203845,Refused
400673,103145,58130,211126,Refused
400674,103592,150682,158340,Refused
400675,102771,146398,255493,Approved
400676,104900,165757,218645,Refused
400677,104661,209075,19892,Refused
400678,102528,134658,136954,Approved
400679,101750,150964,255687,Refused
400680,105412,118375,59782,Approved
400681,106299,23643,264892,Refused
400682,103281,42693,113276,Approved
400683,107774,189168,275142,Refused
400684,106885,160258,143869,Approved
400685,105364,8597,234507,Refused
400686,104384,271147,49706,Refused
400687,101342,31201,85341,Refused
400688,103500,20591,35017,Approved
400689,106926,280572,254110,Refused
400690,104929,18745,116915,Refused
400691,103823,112789,296010,Refused
400692,102423,275393,90746,Approved
400693,104166,52248,53465,Approved
400694,104244,271292,148591,Approved
400695,104458,277120,270736,Approved
400696,103519,274802,146951,Approved
400697,102111,88220,298580,Approved
400698,106129,162148,194851,Refused
400699,100376,142152,236851,Refused
400700,103096,210750,23811,Approved
400701,102562,186347,140033,Refused
400702,102396,18740,182715,Approved
400703,107005,25486,191449,Refused
400704,107781,202875,156585,Approved
400705,106491,55009,118484,Refused
400706,105132,181876,195482,Approved
400707,102287,215375,23571,Refused
400708,105233,157728,181096,Approved
400709,101929,41060,207166,Approved
400710,102894,80326,16506,Approved
400711,103021,59053,204221,Approved
400712,107511,36020,62211,Refused
400713,102559,45597,169382,Approved
400714,105738,201686,185283,Refused
400715,101555,209382,234340,Approved
400716,100567,170553,294064,Refused
400717,100924,193572,285310,Approved
400718,102906,84474,287035,Refused
400719,106488,122358,239965,Refused
400720,102380,272027,282746,Approved
400721,100277,22840,181537,Approved
400722,100315,221119,277816,Refused
400723,101085,123869,91351,Approved
400724,103241,182235,245620,Refused
400725,101008,31170,163449,Approved
400726,103701,246687,173754,Refused
400727,104026,6535,228136,Refused
400728,105651,270623,180368,Approved
400729,105252,111122,100274,Approved
400730,100526,75541,79882,Approved
400731,100027,45183,246065,Approved
400732,103417,284518,186170,Refused
400733,107359,8190,271642,Approved
400734,102357,111161,174668,Refused
400735,107603,19594,72854,Approved
400736,100153,182017,87908,Approved
400737,105965,264379,126734,Approved
400738,107868,72547,92596,Refused
400739,103267,105375,30048,Approved
400740,100420,70176,19312,Approved
400741,103565,278573,49894,Approved
400742,101054,235922,143538,Refused
400743,105779,286546,59072,Approved
400744,105998,104449,253264,Approved
400745,106000,222411,222724,Approved
400746,100722,289648,292913,Refused
400747,105328,35909,73233,Approved
400748,102319,106858,73776,Refused
400749,107193,111198,242401,Approved
400750,103479,201160,240928,Refused
400751,106173,172881,225257,Approved
400752,105109,246461,61858,Refused
400753,103821,224738,190891,Refused
400754,105146,139820,38084,Approved
400755,101958,256601,259031,Approved
400756,106163,186037,143415,Approved
400757,105605,294543,261733,Approved
400758,107150,182715,170013,Approved
400759,105380,16949,72776,Approved
400760,107250,186089,51914,Refused
400761,105852,227138,234133,Approved
400762,102282,253760,270670,Approved
400763,105041,47103,283695,Approved
400764,106716,81110,91883,Refused
400765,100691,64752,106356,Approved
400766,101972,263976,264735,Refused
400767,105541,298019,90868,Approved
400768,104209,85478,267595,Approved
400769,103053,89005,91845,Refused
400770,102564,114366,2043,Refused
400771,101773,130627,257235,Refused
400772,107398,91926,229222,Refused
400773,106278,18893,92760,Refused
400774,101109,132279,153418,Refused
400775,106996,282895,57864,Approved
400776,102707,29287,266800,Refused
400777,107064,57756,257401,Refused
400778,106382,276097,212829,Refused
400779,102707,41308,133043,Refused
400780,106881,182176,101620,Approved
400781,100472,122724,206802,Approved
400782,104181,1596,29689,Refused
400783,106257,236640,171002,Refused
400784,103297,120321,15019,Approved
400785,104175,280923,261976,Approved
400786,101174,129120,123672,Approved
400787,101209,38914,180626,Approved
400788,103442,65660,63961,Approved
400789,104975,218127,180569,Refused
400790,100420,299134,18230,Refused
400791,105420,134058,245313,Refused
400792,104717,115542,189116,Refused
400793,100808,104708,77987,Refused
400794,107106,11765,60194,Approved
400795,103774,154772,35550,Refused
400796,107834,88770,128573,Approved
400797,101072,264729,222564,Approved
400798,107233,212953,102188,Refused
400799,101266,222699,201600,Approved
400800,103676,175664,206094,Refused
400801,105914,168754,273275,Approved
400802,105473,180820,14745,Refused
400803,101080,261511,158907,Approved
400804,106312,209675,231768,Refused
400805,103037,191210,145361,Refused
400806,105759,268881,78781,Refused
400807,102275,164529,273210,Refused
400808,104307,133623,229088,Approved
400809,102447,134820,91526,Approved
400810,100346,185317,110065,Refused
400811,106045,65210,145145,Refused
400812,106538,219755,186295,Approved
400813,106882,115655,259794,Approved
400814,101025,194685,220967,Approved
400815,102811,98765,42842,Refused
400816,105379,163616,196054,Approved
400817,104751,245901,288457,Refused
400818,105899,192801,281866,Approved
400819,102441,38326,91355,Refused
400820,100661,6151,290964,Approved
400821,101960,53644,174351,Approved
400822,104720,279450,99790,Approved
400823,101636,81133,280735,Approved
400824,104476,91358,254586,Refused
400825,103868,235289,131354,Approved
400826,106482,66517,265139,Refused
400827,104231,128216,211111,Refused
400828,100854,288287,189668,Approved
400829,101760,272765,145473,Refused
400830,102817,246942,240203,Approved
400831,101610,99568,139370,Approved
400832,105946,231372,271015,Refused
400833,107391,298379,60197,Refused
400834,101469,123715,202341,Approved
400835,104249,275390,108467,Refused
400836,104127,169042,63847,Refused
400837,101297,208729,207122,Approved
400838,100130,22550,279309,Refused
400839,105028,117107,190407,Approved
400840,104162,285664,264163,Refused
400841,104955,6200,220701,Refused
400842,104658,165026,71566,Approved
400843,105222,85738,129775,Approved
400844,101373,273452,85996,Approved
400845,106300,220743,168204,Refused
400846,105257,180183,68101,Approved
400847,106188,258212,273451,Approved
400848,100759,77091,28822,Approved
400849,100651,218995,61605,Refused
400850,107479,40460,260187,Approved
400851,107831,146489,230916,Approved
400852,100627,90989,713,Approved
400853,104117,25600,229588,Approved
400854,102914,53688,197811,Refused
400855,107541,24268,195336,Refused
400856,100408,91120,41883,Refused
400857,103553,102021,232572,Approved
400858,101217,156278,148429,Refused
400859,102621,157298,122823,Approved
400860,104172,137765,67837,Refused
400861,103862,245939,264613,Approved
400862,101877,68151,86552,Refused
400863,104896,48635,155208,Refused
400864,102578,156868,220330,Approved
400865,104199,176490,185513,Approved
400866,107392,32003,210125,Refused
400867,102306,231194,290289,Approved
400868,106566,197785,299311,Approved
