SK_ID_BUREAU,SK_ID_CURR,CREDIT_ACTIVE,AMT_CREDIT_SUM,DAYS_CREDIT
300170,105665,Active,136170,-519
300171,104222,Closed,99398,-1972
300172,102058,Closed,124779,-6
300173,102979,Active,189650,-1576
300174,102042,Active,143945,-698
300175,100099,Closed,40986,-147
300176,104622,Active,122009,-297
300177,104368,Active,124853,-1623
300178,107488,Active,54481,-1554
300179,107172,Active,172684,-687
300180,103794,Active,129819,-954
300181,103980,Active,29188,-440
300182,104165,Active,163988,-913
300183,100143,Closed,43414,-1281
300184,100292,Closed,145354,-828
300185,105797,Active,96420,-1665
300186,104733,Active,193323,-919
300187,104502,Active,73943,-594
300188,103442,Active,105139,-302
300189,104302,Closed,108969,-414
300190,100900,Active,64886,-1937
300191,101666,Active,11197,-1993
300192,106261,Active,107972,-29
300193,102178,Closed,199806,-1403
300194,103273,Active,63987,-1212
300195,101353,Closed,101659,-1033
300196,104661,Closed,6979,-1605
300197,104782,Active,123528,-1168
300198,105580,Active,86723,-28
300199,103201,Active,146830,-1314
300200,100642,Closed,77803,-1572
300201,107100,Active,127757,-726
300202,105196,Closed,195368,-428
300203,102760,Closed,141385,-1244
300204,100216,Closed,166636,-1027
300205,104908,Closed,92888,-537
300206,101519,Closed,121916,-152
300207,104983,Active,122120,-1269
300208,104796,Closed,171103,-125
300209,103438,Active,38911,-1825
300210,106980,Active,16650,-803
300211,107780,Active,176007,-1307
300212,102409,Closed,69898,-1125
300213,102274,Active,37013,-1216
300214,103373,Closed,2588,-990
300215,100314,Closed,30005,-1048
300216,106856,Active,10221,-332
300217,102548,Closed,158302,-107
300218,102802,Active,28257,-101
300219,105847,Active,71511,-479
300220,104064,Active,42528,-430
300221,106881,Active,173911,-224
300222,103701,Active,77164,-1763
300223,101931,Closed,172619,-216
300224,104012,Active,116920,-208
300225,101936,Active,141871,-1629
300226,101240,Closed,146177,-1944
300227,105870,Closed,67083,-1711
300228,104031,Active,157769,-472
300229,100731,Active,142450,-1078
300230,102462,Active,145194,-1364
300231,101853,Closed,71446,-1050
300232,100011,Closed,92743,-675
300233,107456,Active,199329,-949
300234,106295,Active,75813,-1179
300235,104248,Active,159443,-1165
300236,100682,Active,182952,-1944
300237,103894,Active,112628,-1751
300238,104340,Active,139115,-753
300239,101395,Closed,123309,-1086
300240,105779,Active,65414,-914
300241,107424,Closed,134737,-258
300242,100108,Active,123331,-980
300243,101538,Closed,191976,-414
300244,105777,Closed,36736,-1246
300245,105566,Closed,113177,-1546
300246,102525,Active,56830,-850
300247,105630,Active,50591,-219
300248,104733,Closed,119924,-441
300249,100955,Active,1714,-1871
300250,104805,Active,70358,-1725
300251,106741,Active,169684,-203
300252,101471,Active,180976,-1104
300253,100543,Closed,11123,-182
300254,107829,Active,136630,-1914
300255,100654,Closed,3884,-716
300256,105212,Active,37011,-70
300257,103404,Active,115263,-433
300258,100451,Active,103235,-1531
300259,101748,Active,111521,-1485
300260,102932,Active,192161,-1342
300261,100542,Active,171716,-171
300262,104063,Active,113475,-1763
300263,101024,Active,3562,-1649
300264,102352,Active,35744,-1230
300265,107295,Active,5549,-318
300266,102353,Active,138444,-1727
300267,105760,Active,198323,-71
300268,101684,Closed,55859,-84
300269,106917,Active,47144,-641
300270,103814,Active,67257,-1282
300271,101521,Closed,69030,-604
300272,106694,Closed,20875,-1807
300273,100031,Active,123443,-1384
300274,104532,Active,173433,-1313
300275,107217,Closed,64747,-848
300276,105182,Active,54687,-623
300277,107730,Closed,56533,-1516
300278,104741,Active,175809,-362
300279,107130,Closed,55260,-496
300280,104824,Active,138611,-1238
300281,101381,Closed,178893,-1904
300282,101110,Active,138305,-1691
300283,102305,Active,138964,-1490
300284,106792,Active,101542,-76
300285,100331,Closed,193453,-681
300286,102388,Active,54075,-879
300287,105863,Closed,120186,-1105
300288,101864,Active,107703,-1732
300289,105408,Active,166433,-856
300290,103925,Closed,69616,-184
300291,106521,Closed,168651,-347
300292,103401,Active,57669,-1604
300293,105312,Closed,54993,-1174
300294,106661,Closed,101334,-1772
300295,100271,Active,110326,-591
300296,106900,Active,103339,-1164
300297,107092,Closed,199278,-1287
300298,101361,Closed,137532,-1832
300299,102866,Active,31824,-1880
300300,103429,Active,178046,-329
300301,106589,Closed,178540,-1028
300302,106129,Active,4430,-1192
300303,107739,Active,99371,-978
300304,102812,Closed,84144,-1026
300305,104464,Active,64838,-1049
300306,106513,Active,158762,-977
300307,102145,Closed,5747,-1826
300308,107740,Active,94727,-1049
300309,105735,Active,50721,-1338
300310,107367,Active,191391,-1631
300311,107525,Active,153558,-51
300312,101507,Closed,48652,-1209
300313,103986,Active,182488,-525
300314,104424,Active,18000,-1534
300315,103010,Closed,13359,-636
300316,102373,Closed,77236,-1419
300317,105239,Closed,30790,-1613
300318,107546,Active,45812,-1678
300319,104122,Closed,123701,-58
300320,106376,Active,192235,-1800
300321,100936,Active,59637,-34
300322,104145,Closed,70951,-972
300323,101721,Active,152436,-1256
300324,101959,Closed,75678,-1572
300325,106591,Active,99352,-593
300326,106926,Active,62472,-1410
300327,103370,Active,51282,-247
300328,103184,Closed,161161,-399
300329,106418,Closed,161202,-1513
300330,103089,Active,185663,-1361
300331,107583,Active,39087,-683
300332,100654,Active,61837,-847
300333,102342,Active,136948,-1112
300334,103742,Active,156014,-1183
300335,104135,Closed,51564,-1444
300336,106990,Closed,183355,-432
300337,102831,Closed,51219,-1375
300338,101388,Active,95047,-734
300339,103341,Active,199869,-603
300340,107208,Active,10917,-1768
300341,101862,Closed,186671,-464
300342,105646,Closed,150005,-753
300343,104737,Closed,30112,-692
300344,100338,Active,36738,-1859
300345,106523,Active,66148,-287
300346,102892,Closed,130910,-284
300347,106638,Active,50551,-16
300348,104262,Active,115294,-464
300349,104929,Closed,41848,-1072
300350,105154,Closed,181450,-1998
300351,102665,Closed,169420,-1152
300352,102557,Closed,124208,-1857
300353,103132,Closed,138368,-1432
300354,102524,Closed,161069,-1441
300355,100393,Active,168569,-810
300356,100907,Active,34989,-1438
300357,102155,Closed,147408,-1190
300358,103426,Active,124168,-1819
300359,102402,Closed,113497,-163
300360,101396,Closed,98258,-736
300361,107676,Active,49740,-658
300362,100077,Active,102165,-534
300363,103089,Active,43568,-1016
300364,106880,Closed,151772,-664
300365,106885,Active,29682,-1841
300366,107002,Closed,114794,-873
300367,105599,Closed,152833,-992
300368,101368,Closed,87250,-1837
300369,106386,Active,38702,-868
300370,106380,Active,31920,-1831
300371,100184,Closed,64224,-1132
300372,104540,Closed,33348,-769
300373,104318,Closed,188919,-345
300374,106439,Active,61367,-1167
300375,107402,Active,37817,-1391
300376,104338,Closed,147623,-908
300377,101567,Closed,37947,-293
300378,104724,Active,195747,-1116
300379,102351,Closed,3190,-628
300380,102128,Closed,30252,-1799
300381,104276,Closed,99607,-398
300382,103437,Closed,72240,-1232
300383,105675,Active,39207,-1479
300384,101825,Active,112605,-1337
300385,104636,Closed,50747,-1365
300386,104611,Closed,194674,-590
300387,102963,Closed,108013,-1338
300388,103899,Closed,89662,-1106
300389,102289,Closed,56546,-1806
300390,103076,Active,69690,-91
300391,105315,Active,22577,-502
300392,104579,Closed,101437,-591
300393,104502,Active,1445,-1149
300394,103950,Closed,73270,-475
300395,103688,Active,13907,-518
300396,105467,Active,19735,-891
300397,101563,Active,83900,-941
300398,102035,Active,141734,-1764
300399,106076,Closed,30743,-1742
300400,105084,Closed,183079,-272
300401,106228,Active,75394,-1333
300402,101970,Active,152189,-791
300403,104823,Closed,146032,-1761
300404,102113,Active,130355,-1811
300405,107770,Active,196242,-1182
300406,104333,Closed,161159,-1245
300407,103993,Closed,93779,-1152
300408,102983,Closed,16359,-302
300409,105388,Active,174866,-45
300410,106811,Active,88332,-482
300411,105368,Active,128566,-1979
300412,104672,Active,132967,-216
300413,105919,Closed,77154,-357
300414,104252,Closed,152818,-1295
300415,107794,Active,140227,-26
300416,104499,Closed,104779,-1680
300417,107099,Active,118451,-545
300418,100372,Closed,83218,-1899
300419,103022,Active,155231,-218
300420,102390,Active,111023,-1091
300421,103311,Active,55489,-478
300422,102410,Closed,175428,-1762
300423,104476,Closed,61085,-1988
300424,105827,Closed,10780,-114
300425,105319,Active,4908,-734
300426,102525,Active,70911,-114
300427,101292,Closed,152094,-1439
300428,105187,Active,11728,-99
300429,106330,Active,93424,-474
300430,102046,Active,57094,-468
300431,100250,Closed,149332,-1995
300432,104101,Active,116027,-1061
300433,100876,Active,131772,-1534
300434,100798,Closed,93899,-447
300435,103497,Closed,121897,-1015
300436,100157,Closed,181794,-520
300437,106304,Closed,152674,-1712
300438,102280,Active,163371,-1330
300439,103550,Active,51545,-1816
300440,106024,Closed,167589,-838
300441,107486,Active,156023,-1301
300442,106775,Closed,158034,-21
300443,102279,Closed,113418,-1776
300444,103963,Active,86031,-37
300445,104612,Closed,108917,-1880
300446,103478,Closed,129649,-72
300447,107065,Closed,16590,-1172
300448,101551,Active,94699,-1638
300449,105244,Active,98180,-746
300450,106370,Active,192386,-115
300451,100851,Active,160697,-1788
300452,104132,Active,15922,-1424
300453,103216,Active,161098,-141
300454,100553,Active,149269,-830
300455,103538,Closed,30055,-1647
300456,104756,Closed,78783,-659
300457,107802,Active,5645,-340
300458,106715,Active,193219,-1414
300459,102431,Active,140089,-1178
300460,104226,Active,79069,-1245
300461,100002,Active,118211,-584
300462,100629,Closed,80775,-1842
300463,103345,Closed,132405,-510
300464,101149,Active,45765,-781
300465,102006,Closed,114859,-2
300466,102510,Active,179847,-47
300467,105181,Closed,168989,-1845
300468,103652,Active,27411,-37
300469,105396,Closed,70869,-336
300470,106092,Active,196083,-717
300471,103749,Active,184557,-522
300472,102059,Closed,104145,-655
300473,107547,Active,71478,-1143
300474,104271,Active,162110,-886
300475,102256,Active,182305,-380
300476,104280,Closed,149723,-865
300477,100151,Active,123959,-1675
300478,106269,Active,34321,-666
300479,104531,Active,42404,-198
300480,102984,Closed,78100,-627
300481,106792,Active,53186,-612
300482,102317,Active,105566,-313
300483,104415,Active,97536,-249
300484,100921,Closed,26744,-1257
300485,106485,Active,83825,-93
300486,100437,Active,138617,-1195
300487,106429,Active,41239,-354
300488,101482,Closed,147492,-1500
300489,105550,Active,50111,-1976
300490,101546,Active,81213,-1589
300491,104269,Active,160086,-1610
300492,100495,Closed,35861,-110
300493,101790,Closed,134909,-874
300494,101695,Active,38081,-839
300495,106545,Active,57987,-210
300496,107709,Active,86135,-1738
300497,103432,Closed,20848,-440
300498,104229,Closed,7092,-657
300499,104398,Closed,156341,-537
300500,103894,Closed,159061,-312
300501,104920,Closed,6488,-1544
300502,104274,Active,98157,-1473
300503,103058,Active,40995,-1159
300504,100007,Closed,123036,-1313
300505,107112,Active,178310,-1223
300506,106471,Closed,199790,-1006
300507,100180,Closed,43257,-899
300508,104545,Closed,180475,-1287
300509,103234,Active,130576,-801
300510,101952,Active,157022,-1014
300511,105684,Closed,121265,-1028
300512,100742,Closed,65571,-24
300513,104438,Closed,38119,-590
300514,107249,Active,92253,-373
300515,105497,Active,166853,-23
300516,102938,Closed,115124,-1368
300517,106333,Closed,183056,-281
300518,102588,Closed,118627,-597
300519,103555,Active,52722,-1783
300520,106738,Closed,93282,-170
300521,101685,Closed,181785,-277
300522,103629,Closed,145519,-1009
300523,101937,Closed,180644,-555
300524,106165,Active,6356,-1210
300525,104044,Active,15557,-1486
300526,106152,Active,145137,-1431
300527,103646,Closed,36654,-68
300528,102856,Active,32109,-1530
300529,106855,Active,40215,-1352
300530,104956,Closed,94634,-1944
300531,102654,Active,95573,-342
300532,101201,Active,144711,-699
300533,100967,Active,119360,-138
300534,105025,Active,107681,-1033
300535,103786,Closed,61702,-750
300536,100246,Active,187654,-914
300537,101017,Active,111538,-1491
300538,107188,Active,72529,-1147
300539,102378,Active,43231,-1574
300540,104808,Closed,66364,-236
300541,101237,Active,163035,-1675
300542,105227,Closed,135866,-1557
300543,101763,Active,28994,-869
300544,105814,Closed,22991,-1550
300545,106841,Closed,175123,-334
300546,104518,Closed,46303,-1636
300547,105822,Active,117708,-722
300548,103686,Active,177082,-840
300549,102855,Closed,54391,-1258
300550,106860,Active,150135,-1915
300551,101230,Closed,39382,-462
300552,105406,Closed,140038,-1556
300553,101593,Active,100493,-1583
300554,103837,Closed,43369,-82
300555,103174,Active,3440,-1739
300556,102697,Active,145114,-830
300557,104521,Closed,12881,-329
300558,106507,Active,118177,-482
300559,105975,Active,798,-386
300560,103607,Closed,191554,-1091
300561,103974,Closed,56146,-38
300562,107072,Active,80145,-579
300563,100551,Active,41207,-1104
300564,105511,Closed,148422,-636
300565,106594,Active,157801,-1054
300566,100325,Active,127438,-1939
300567,102815,Active,199186,-292
300568,107589,Active,85817,-163
300569,100544,Closed,35796,-1288
300570,102734,Active,155958,-1701
300571,104286,Closed,75706,-1842
300572,101791,Closed,84240,-1486
300573,103657,Closed,128217,-1195
300574,103402,Active,95765,-497
300575,106807,Active,195707,-1149
300576,103846,Closed,7892,-1087
300577,102351,Closed,140632,-1989
300578,105212,Closed,174252,-1404
300579,101297,Closed,194561,-728
300580,105120,Closed,5595,-1248
300581,103659,Closed,86933,-734
300582,100460,Closed,158889,-1527
300583,105046,Closed,198768,-1737
300584,105826,Active,183526,-1695
300585,105575,Closed,88675,-953
300586,106165,Closed,167413,-1310
300587,102496,Active,185999,-1150
300588,100095,Active,189863,-74
300589,102778,Closed,8959,-647
300590,101336,Active,9552,-1090
300591,100085,Active,74858,-1457
300592,100115,Active,106922,-424
300593,105683,Closed,171363,-1547
300594,104082,Closed,137424,-10
300595,103480,Active,52142,-745
300596,101629,Closed,10592,-1910
300597,102626,Active,31552,-1334
300598,106638,Closed,156744,-905
300599,102684,Active,128547,-1863
300600,100394,Active,178548,-998
300601,107200,Active,16129,-617
300602,106463,Active,83113,-1030
300603,107350,Active,111641,-1423
300604,100153,Closed,13673,-284
300605,106276,Active,191525,-1138
300606,102160,Active,130731,-66
300607,102114,Closed,81699,-1306
300608,104599,Closed,37477,-752
300609,104295,Closed,198196,-45
300610,101834,Closed,79569,-854
300611,102620,Closed,23743,-1429
300612,100473,Closed,194097,-37
300613,103292,Active,161606,-117
300614,105764,Active,30902,-1853
300615,107130,Active,22838,-387
300616,102053,Active,150476,-71
300617,102626,Closed,5381,-511
300618,100747,Closed,172998,-293
300619,103354,Active,144931,-701
300620,103315,Active,74927,-1174
300621,104756,Active,87985,-172
300622,107000,Closed,18229,-584
300623,101804,Closed,98334,-1771
300624,105577,Closed,4523,-1790
300625,107421,Active,189705,-703
300626,101376,Closed,158122,-317
300627,105681,Active,152444,-403
300628,107093,Active,9138,-880
300629,104616,Closed,45627,-1915
300630,106242,Closed,56732,-1742
300631,104849,Active,73470,-231
300632,106208,Active,32297,-137
300633,103829,Active,198326,-809
300634,101993,Closed,44185,-1462
300635,107244,Closed,107962,-1282
300636,100529,Active,36456,-1732
300637,105556,Active,194625,-905
300638,105486,Closed,197285,-910
300639,104150,Active,41178,-920
300640,103720,Closed,166772,-1643
300641,104807,Active,42641,-1344
300642,102433,Active,121977,-1399
300643,105705,Closed,48198,-212
300644,102979,Active,66414,-1293
300645,105032,Closed,114056,-932
300646,102729,Closed,192460,-1520
300647,102152,Active,129035,-297
300648,106682,Closed,180382,-340
300649,105262,Active,57992,-545
300650,103137,Active,88342,-1783
300651,103978,Active,83369,-424
300652,100908,Closed,78680,-1565
300653,106875,Active,146843,-1441
300654,100359,Active,92928,-1259
300655,105443,Closed,103163,-869
300656,102444,Closed,106542,-1239
300657,107241,Closed,72232,-261
300658,100449,Closed,142774,-778
300659,105430,Active,113456,-1511
300660,104102,Active,194922,-620
300661,104712,Closed,44232,-582
300662,106526,Closed,45952,-972
300663,104986,Active,55856,-317
300664,106441,Closed,69524,-163
300665,104095,Closed,121427,-190
300666,101353,Active,151732,-659
300667,104936,Active,183298,-1054
300668,106973,Active,171811,-1024
300669,102013,Closed,139270,-723
300670,106775,Active,90165,-63
300671,106895,Closed,94190,-655
300672,103554,Closed,137767,-954
300673,101344,Active,164832,-968
300674,102181,Closed,182818,-402
300675,101212,Closed,90898,-313
300676,105434,Closed,30283,-922
300677,103564,Active,167457,-699
300678,100847,Closed,45642,-1370
300679,102852,Closed,99460,-1792
300680,107557,Closed,37921,-1
300681,103552,Active,79789,-809
300682,100602,Closed,164371,-1571
300683,107519,Closed,155636,-1654
300684,100181,Active,6581,-128
300685,102990,Active,158523,-461
300686,106893,Active,135927,-1398
300687,101791,Active,158575,-969
300688,106772,Active,193749,-1607
300689,105392,Closed,37787,-1684
300690,101484,Closed,12411,-1712
300691,100438,Closed,46236,-1023
300692,101286,Active,151853,-750
300693,100738,Closed,8015,-1072
300694,106132,Closed,119364,-708
300695,107710,Closed,109329,-39
300696,100880,Active,54841,-1421
300697,104538,Active,166454,-63
300698,105688,Active,103970,-641
300699,105511,Closed,171815,-1302
300700,100365,Closed,177267,-1119
300701,102144,Active,138060,-1291
300702,106908,Closed,86186,-1570
300703,105184,Active,181215,-1002
300704,105381,Active,196483,-1229
300705,106333,Closed,71152,-1053
300706,105341,Active,76094,-1971
300707,104943,Active,194065,-1336
300708,101318,Active,177853,-1630
300709,102194,Closed,110334,-892
300710,107110,Closed,105873,-600
300711,101149,Closed,96197,-1870
300712,104639,Closed,166600,-1697
300713,101754,Closed,116009,-966
300714,107113,Closed,11152,-670
300715,104694,Closed,71116,-1883
300716,106952,Active,72987,-1015
300717,102673,Active,56470,-1342
300718,100141,Active,114426,-1456
300719,101694,Closed,157222,-985
300720,102551,Closed,196107,-1950
300721,103448,Closed,122813,-301
300722,104950,Closed,128051,-1742
300723,101392,Closed,113890,-1056
300724,103700,Active,120752,-800
300725,106433,Closed,143389,-275
300726,101022,Closed,87027,-359
300727,103326,Active,7143,-1207
300728,106628,Active,151489,-41
300729,100723,Closed,20303,-886
300730,105458,Active,36390,-633
300731,100633,Active,118831,-1609
300732,102296,Active,51191,-1161
300733,102090,Active,15913,-253
300734,104901,Closed,102109,-1280
300735,107347,Active,134170,-785
300736,106582,Closed,90057,-634
300737,103844,Closed,192775,-883
300738,101550,Active,53872,-99
300739,102319,Closed,43428,-282
300740,101832,Closed,195508,-158
300741,102445,Closed,46060,-671
300742,104216,Closed,38513,-1284
300743,105878,Closed,197595,-617
300744,106108,Active,100883,-523
300745,101067,Active,189654,-1771
300746,103284,Closed,130272,-311
300747,103392,Closed,72621,-676
300748,101695,Active,197303,-318
300749,103439,Active,115796,-830
300750,107493,Active,133928,-902
300751,103318,Active,58702,-1568
300752,101480,Active,99781,-1998
300753,102769,Closed,69262,-1871
300754,102040,Closed,5047,-40
300755,101342,Closed,159930,-1641
300756,104864,Active,143381,-1591
300757,106820,Closed,164977,-1340
300758,104205,Closed,179986,-956
300759,103837,Active,130155,-785
300760,105490,Closed,32547,-1683
300761,107830,Closed,69619,-778
300762,104797,Active,109224,-112
300763,107539,Active,127465,-806
300764,100597,Closed,139417,-577
300765,102921,Active,145683,-646
300766,104065,Closed,113154,-31
300767,105364,Closed,98984,-685
300768,104597,Active,24860,-447
300769,104670,Active,50861,-1231
300770,102324,Active,149650,-1245
300771,100749,Active,8467,-965
300772,102459,Closed,101409,-426
300773,102072,Closed,20425,-187
300774,101210,Active,28374,-1578
300775,101813,Active,23825,-1198
300776,105526,Active,36825,-242
300777,104426,Active,81134,-1063
300778,104876,Closed,9528,-72
300779,103778,Closed,98640,-208
300780,107609,Active,111282,-322
300781,100028,Closed,49363,-1755
300782,101759,Closed,21572,-1760
300783,104243,Active,182580,-1630
300784,101139,Active,124407,-1191
300785,105633,Closed,162280,-1951
300786,107158,Active,135541,-272
300787,104181,Active,76721,-179
300788,105865,Closed,161745,-875
300789,106634,Closed,19068,-1698
300790,102770,Closed,115848,-1617
300791,104329,Active,49336,-781
300792,104122,Closed,7703,-1810
300793,100913,Closed,140031,-865
300794,106040,Closed,181681,-681
300795,105648,Closed,157024,-185
300796,101930,Closed,187894,-1622
300797,106474,Closed,197264,-486
300798,106773,Active,170150,-1821
300799,100688,Active,132269,-748
300800,100593,Closed,123251,-876
300801,102241,Active,162751,-48
300802,101428,Active,8116,-396
300803,104921,Active,176887,-846
300804,100536,Active,180369,-374
300805,104299,Closed,21119,-407
300806,107613,Closed,22280,-998
300807,107632,Active,141711,-1260
300808,103358,Active,142564,-1236
300809,101458,Active,117558,-1429
300810,107300,Active,64155,-1428
300811,104374,Active,185761,-1577
300812,104273,Active,184972,-651
300813,105766,Active,17385,-1599
300814,103192,Active,106358,-1022
300815,105896,Closed,158471,-1141
300816,100346,Active,71815,-1292
300817,105035,Active,53494,-356
300818,106766,Closed,19713,-300
300819,103439,Active,47550,-1279
300820,100234,Closed,127923,-236
300821,101614,Active,161139,-311
300822,102743,Active,169250,-983
300823,102205,Closed,120909,-1279
300824,105871,Active,48251,-1656
300825,101319,Active,681,-158
300826,106831,Active,181317,-1699
300827,100358,Closed,182955,-1605
300828,103841,Active,158806,-1676
300829,100296,Closed,138068,-1470
300830,106321,Active,126519,-695
300831,105369,Closed,51155,-1180
300832,103248,Active,89186,-901
300833,103904,Closed,139109,-1532
300834,102655,Active,55751,-1538
300835,107180,Closed,40836,-678
300836,105185,Closed,67918,-826
300837,101594,Closed,197476,-106
300838,106061,Closed,156456,-375
300839,105413,Active,192039,-1277
300840,100332,Closed,133671,-1437
300841,103425,Closed,51549,-1674
300842,105623,Closed,59170,-886
300843,101516,Closed,10131,-1822
300844,103277,Closed,94387,-1769
300845,101617,Closed,122562,-1886
300846,101006,Closed,119027,-949
300847,104612,Closed,174478,-1640
300848,106102,Closed,130887,-817
300849,102530,Active,85581,-1323
300850,104467,Active,118659,-946
300851,102913,Closed,45637,-1771
300852,102390,Active,22445,-608
300853,102491,Closed,62448,-925
300854,102842,Active,57028,-963
300855,101731,Closed,193129,-184
300856,100447,Closed,134449,-1085
300857,104362,Active,83500,-469
300858,101831,Active,54455,-124
300859,100669,Active,173122,-610
300860,105520,Closed,155164,-17
300861,100853,Closed,68041,-1849
300862,105068,Closed,174656,-359
300863,101153,Closed,122506,-873
300864,100313,Active,92415,-1
300865,103552,Active,115812,-923
300866,100361,Closed,94402,-270
300867,100501,Active,85424,-1826
300868,101581,Active,165719,-1471
300869,103155,Active,156943,-1644
300870,101615,Active,159696,-1044
